"","obj","log.rt","cih","cil"
"1","1-1",7.04719236357878,0.102952367467124,0.104723312382515
"2","1-2",7.12566153316537,0.110941024358952,0.105076556674657
"3","1-3",7.12022004272548,0.112628393450307,0.110723215555212
"4","1-4",7.106017880143,0.111209754165866,0.117204464290277
"5","1-5",7.13330511343712,0.119074003357388,0.122687969707691
"6","1-6",7.07781498740677,0.114075965967277,0.113963358657412
"7","1-7",7.21094692940482,0.120018148774406,0.117395520370106
"8","1-8",7.15638039732531,0.105444318347466,0.102885859773806
"9","2-1",7.25000948926994,0.121366054995076,0.124716555129426
"10","2-2",7.22323860108545,0.124594828912834,0.110694447755889
"11","2-3",7.2537688186413,0.135048586834911,0.119396644123452
"12","2-4",7.29336768842468,0.120978302752239,0.13252033576977
"13","2-5",7.28993416391881,0.127694101198598,0.115919388387844
"14","2-6",7.30024971724876,0.11409588275414,0.115273918156556
"15","2-7",7.25324083665048,0.145464315312879,0.150968644825221
"16","2-8",7.14928546016887,0.122069454472365,0.116335898715496
"17","3-1",7.26311607655564,0.131358031776533,0.137046709076515
"18","3-2",7.34357497749828,0.124534088109725,0.119190050385732
"19","3-3",7.35231805220081,0.12404712253778,0.13285445507743
"20","3-4",7.34365297144576,0.122862830471293,0.122145283905358
"21","3-5",7.38057144653556,0.109881356568526,0.109857123813592
"22","3-6",7.37717323948312,0.130663410429674,0.122938078095197
"23","3-7",7.4576421040624,0.106545543152729,0.107746316004948
"24","3-8",7.37820860586072,0.108736903902575,0.114681600617087
"25","4-1",7.47238209549203,0.115210270853635,0.111966593274826
"26","4-2",7.38357413673939,0.102539289162866,0.101333575683058
"27","4-3",7.51389426853832,0.116301575729852,0.133772912458227
"28","4-4",7.44415965744716,0.121251515806619,0.125076986523228
"29","4-5",7.45011405562092,0.117900344862084,0.125381414938547
"30","4-6",7.4808403912451,0.119341217244133,0.119171387144933
"31","4-7",7.40403330391097,0.115410915083161,0.121458415778729
"32","4-8",7.48492849833601,0.119588315362337,0.113035072395521
"33","5-1",7.55152734409631,0.121894918459258,0.115874162554323
"34","5-2",7.40911860957558,0.126440982028147,0.121358343584085
"35","5-3",7.49631198228932,0.120716310503024,0.120189452430217
"36","5-4",7.52245949482209,0.148194693038335,0.140224698785086
"37","5-5",7.41937065134264,0.158784839216502,0.142269630944464
"38","5-6",7.46635694988485,0.137798156046472,0.138756075287193
"39","5-7",7.53194766740618,0.123678873061641,0.109356581117385
"40","5-8",7.5809576218774,0.119925683082402,0.10478720847078
