"","ratingNum","meanRating","cil","cih","rating_1","rating_2","quintile"
"22",29,0.145270839281534,0.0485731956694524,0.0515493694263748,0.124777183600713,0.16986322609852,1
"23",3,0.147141029673902,0.0589583202264863,0.0611274719513474,0.157486631016043,0.132361599185129,1
"13",20,0.200264138713337,0.0619680764867931,0.0636910549343705,0.201604278074866,0.199147355912062,1
"21",28,0.200609185263917,0.050615182392676,0.0637090211578703,0.195008912655971,0.211109696403814,1
"7",15,0.202317290552585,0.0797794117647059,0.0858065953654188,0.248128342245989,0.169595110771581,1
"55",59,0.20730831904479,0.0543389661319073,0.0620854766148884,0.24537227478404,0.166072366993936,1
"41",46,0.240054116515293,0.0664953072461308,0.0747727517188694,0.213081036610448,0.269274953078875,1
"11",19,0.265111903347197,0.0674428104575164,0.0622410378292731,0.241830065359477,0.288393741334918,1
"5",13,0.285448098916334,0.067454010468834,0.0786637099284158,0.323826500297089,0.26386024813966,1
"39",44,0.291960136120564,0.0725490601199157,0.0796729946524064,0.32258981976629,0.270754970519676,1
"50",54,0.310160689900628,0.0596735144456507,0.0717700728350883,0.339839572192513,0.277184154020755,1
"53",57,0.312409799834636,0.082972524340825,0.0885819118668791,0.335446524064171,0.293980420451009,1
"28",34,0.313613099560812,0.0835180312304495,0.0905916070131756,0.371390374331551,0.241391506097388,2
"31",37,0.316125051419169,0.0802396133278486,0.0876182640888523,0.296027501909855,0.339572192513369,2
"15",22,0.328749681690858,0.0736121721415839,0.0762700534759358,0.340017825311943,0.313725490196078,2
"60",9,0.335882378663127,0.0728579241614001,0.0811114229897653,0.391711229946524,0.268887757123051,2
"51",55,0.346017432522623,0.116723109326916,0.0929813666405361,0.387943607194944,0.269152778956701,2
"45",5,0.352405103455524,0.0725814947190998,0.0670037964680822,0.391488413547237,0.323092620886739,2
"12",2,0.356244101918842,0.100530827304184,0.115134476250393,0.411229946524064,0.277692895339954,2
"56",6,0.35745320855615,0.0718708221925135,0.0818975601604278,0.342543077837196,0.376623376623377,2
"44",49,0.358240208244914,0.0676728251704722,0.0706016042780749,0.376926322043969,0.340991487815017,2
"9",17,0.374816644502919,0.0733310964453121,0.0712667530817041,0.386745607333843,0.358116096539626,2
"2",10,0.377545811051693,0.0887226024955436,0.0869388235294117,0.357142857142857,0.395398395721925,2
"34",4,0.378938901621255,0.0998560623037093,0.105099963924964,0.493761140819964,0.284993433185947,2
"59",8,0.388067614073806,0.0980931607092598,0.0910625121925431,0.41916906622789,0.320681134406625,3
"4",12,0.396360207778893,0.0915786011374247,0.0854330294209187,0.47192513368984,0.373109461344755,3
"17",24,0.398118522947167,0.0782953315889376,0.0782561333712229,0.466726084373143,0.354013662030469,3
"52",56,0.399193920630453,0.0869851393188854,0.0935969603152266,0.47927807486631,0.340950899368012,3
"35",40,0.412817695673311,0.0929627369956247,0.0910805785123966,0.393048128342246,0.436541176470588,3
"33",39,0.440874768762724,0.10723294489513,0.11107593124792,0.479095770539621,0.398831666808137,3
"57",60,0.451532677717552,0.0825197082199883,0.0883867289676813,0.439839572192513,0.456209919927567,3
"1",1,0.452385042906051,0.102196254057178,0.106936487928505,0.433155080213904,0.478024993162248,3
"46",50,0.460305623075677,0.105415078593421,0.106641946199968,0.486095159742219,0.423054070112894,3
"43",48,0.463502673796791,0.134906417112299,0.137703877005348,0.510918003565062,0.392379679144385,3
"8",16,0.471216042780749,0.0875529411764706,0.0811520588235295,0.453781512605042,0.480603866721514,3
"58",7,0.516124312175463,0.0743903975819577,0.0740563202356042,0.488482106129165,0.552059180035651,3
"54",58,0.521053900348018,0.107640353110941,0.103763551481198,0.525229233511586,0.517258142926592,4
"40",45,0.539661319073084,0.108626708259061,0.097448752228164,0.53921568627451,0.539884135472371,4
"19",26,0.540172800671071,0.114593142497641,0.111927566320646,0.555994295900178,0.517570664629488,4
"3",11,0.548862369828314,0.106587475372924,0.118561244019139,0.531788472964944,0.564228877005348,4
"36",41,0.558707749766573,0.0879921908157202,0.0821752652576182,0.586922638146168,0.533057851239669,4
"24",30,0.569061536789091,0.101534013733085,0.0898403909357469,0.652072192513369,0.508690150807798,4
"42",47,0.572801576483237,0.0929886590405621,0.0889061358352017,0.529946524064171,0.634023079939046,4
"10",18,0.584426636816343,0.0714434700647936,0.0689750158270379,0.654136520918528,0.505422101500533,4
"37",42,0.587461303713405,0.0590862906778873,0.0648853925408546,0.599312452253629,0.57561015517318,4
"47",51,0.626285479226656,0.0849470382558617,0.0840394899218428,0.660873440285205,0.596638655462185,4
"16",23,0.628162012279659,0.0878588829471182,0.0927678748266983,0.693971803597472,0.524746625923097,4
"25",31,0.640374331550802,0.0652540106951871,0.0709926470588236,0.669043374925728,0.616917841516772,4
"49",53,0.644969919786096,0.0630953375668449,0.0687688001336898,0.683656417112299,0.606283422459893,5
"18",25,0.65821901883283,0.0848436410137178,0.0772233201581026,0.68964858670741,0.609328579916815,5
"32",38,0.672930841661492,0.0861279200675485,0.0926018626483022,0.719633307868602,0.645687736374011,5
"26",32,0.691494779730074,0.0794531448943213,0.0793321874204226,0.697638146167558,0.683303624480095,5
"48",52,0.692027224112786,0.0696432912007778,0.0721925133689839,0.663770053475936,0.725935828877005,5
"14",21,0.694364459070341,0.052460407239819,0.0468942821883999,0.643150966680379,0.745577951460304,5
"20",27,0.704209853212949,0.0662905737308214,0.0595309202894342,0.723834988540871,0.692761857604995,5
"38",43,0.713235039470334,0.0938867583396994,0.0828600713012478,0.712463458110517,0.714623885918004,5
"27",33,0.760232620320856,0.0727485294117648,0.0704939839572193,0.77652192513369,0.733083778966132,5
"30",36,0.784153743315508,0.0636098930481283,0.0621809157754011,0.837662337662338,0.742535947712418,5
"29",35,0.799923397322778,0.0565812369604939,0.0626671059705115,0.81918449197861,0.785915328482173,5
"6",14,0.889522178449514,0.0531675920516751,0.0461752139952832,0.943850267379679,0.841230543844923,5
