"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"1","1","0","""49""","""10""","""long""","""2-2""","""10""","""left""","""simple""","""pakuwugnum"""
"2","1","1","""14""","""37""","""long""","""2-5""","""14""","""left""","""complex""","""mipatorun"""
"3","1","2","""40""","""15""","""long""","""1-3""","""15""","""right""","""simple""","""binivatrus"""
"4","1","3","""2""","""44""","""short""","""1-2""","""44""","""right""","""simple""","""ralex"""
"5","1","4","""35""","""50""","""short""","""3-5""","""35""","""left""","""complex""","""bugorn"""
"6","1","5","""24""","""7""","""short""","""3-3""","""24""","""right""","""complex""","""gronan"""
"7","1","6","""42""","""55""","""long""","""2-4""","""55""","""left""","""simple""","""gaburatum"""
"8","1","7","""18""","""48""","""short""","""3-4""","""48""","""left""","""simple""","""lopus"""
"9","10","0","""33""","""32""","""short""","""5-5""","""32""","""right""","""simple""","""gronan"""
"10","10","1","""24""","""56""","""short""","""3-3""","""24""","""right""","""complex""","""vatrus"""
"11","10","2","""45""","""18""","""long""","""4-4""","""18""","""left""","""simple""","""gaburatum"""
"12","10","3","""58""","""46""","""short""","""1-4""","""58""","""left""","""complex""","""wugnum"""
"13","10","4","""11""","""9""","""long""","""2-4""","""11""","""right""","""complex""","""tupabugorn"""
"14","10","5","""1""","""15""","""long""","""1-3""","""1""","""left""","""complex""","""tiburalex"""
"15","10","6","""22""","""6""","""short""","""2-2""","""22""","""right""","""complex""","""lopus"""
"16","10","7","""undefined""","""54""","""long""","""1-1""","""54""","""left""","""simple""","""mipatorun"""
"17","100","0","""14""","""2""","""short""","""2-5""","""2""","""left""","""simple""","""ratum"""
"18","100","1","""25""","""42""","""short""","""4-5""","""25""","""right""","""complex""","""vatrus"""
"19","100","2","""13""","""59""","""long""","""1-1""","""59""","""right""","""simple""","""pakuwugnum"""
"20","100","3","""26""","""45""","""long""","""4-4""","""45""","""left""","""simple""","""tiburalex"""
"21","100","4","""50""","""3""","""long""","""1-3""","""3""","""right""","""simple""","""fepolopus"""
"22","100","5","""21""","""46""","""short""","""1-5""","""21""","""left""","""complex""","""torun"""
"23","100","6","""51""","""40""","""long""","""3-4""","""51""","""right""","""complex""","""tupabugorn"""
"24","100","7","""48""","""1""","""short""","""3-3""","""48""","""right""","""complex""","""gronan"""
"25","1000","0","""18""","""37""","""short""","""2-4""","""18""","""left""","""complex""","""gronan"""
"26","1000","1","""32""","""31""","""short""","""4-5""","""32""","""right""","""complex""","""bugorn"""
"27","1000","2","""55""","""34""","""long""","""2-2""","""55""","""right""","""complex""","""tiburalex"""
"28","1000","3","""8""","""48""","""long""","""3-3""","""48""","""right""","""simple""","""mipatorun"""
"29","1000","4","""43""","""25""","""long""","""5-5""","""43""","""right""","""complex""","""binivatrus"""
"30","1000","5","""52""","""29""","""long""","""1-5""","""29""","""left""","""simple""","""pakuwugnum"""
"31","1000","6","""30""","""16""","""short""","""3-4""","""16""","""left""","""simple""","""ratum"""
"32","1000","7","""41""","""57""","""short""","""1-4""","""41""","""right""","""complex""","""lopus"""
"33","1001","0","""7""","""29""","""long""","""1-3""","""7""","""left""","""complex""","""binivatrus"""
"34","1001","1","""30""","""8""","""short""","""3-4""","""30""","""left""","""complex""","""torun"""
"35","1001","2","""40""","""39""","""long""","""3-3""","""39""","""right""","""simple""","""tiburalex"""
"36","1001","3","""47""","""6""","""short""","""2-4""","""47""","""left""","""complex""","""lopus"""
"37","1001","4","""14""","""52""","""short""","""5-5""","""52""","""right""","""simple""","""gronan"""
"38","1001","5","""37""","""15""","""short""","""1-2""","""37""","""right""","""complex""","""ratum"""
"39","1001","6","""36""","""9""","""long""","""2-5""","""9""","""left""","""simple""","""pakuwugnum"""
"40","1001","7","""24""","""17""","""long""","""2-3""","""24""","""right""","""complex""","""tupabugorn"""
"41","1002","0","""34""","""59""","""short""","""1-2""","""59""","""right""","""simple""","""bugorn"""
"42","1002","1","""35""","""30""","""short""","""4-5""","""30""","""right""","""simple""","""vatrus"""
"43","1002","2","""7""","""2""","""short""","""2-3""","""2""","""left""","""simple""","""gronan"""
"44","1002","3","""58""","""42""","""long""","""4-4""","""42""","""left""","""simple""","""gaburatum"""
"45","1002","4","""28""","""19""","""long""","""1-1""","""19""","""left""","""simple""","""tiburalex"""
"46","1002","5","""51""","""5""","""long""","""2-4""","""5""","""left""","""simple""","""fepolopus"""
"47","1002","6","""26""","""20""","""long""","""1-4""","""20""","""right""","""simple""","""mipatorun"""
"48","1002","7","""31""","""60""","""short""","""3-4""","""60""","""left""","""simple""","""wugnum"""
"49","1003","0","""39""","""22""","""long""","""2-3""","""39""","""right""","""complex""","""tiburalex"""
"50","1003","1","""50""","""48""","""long""","""3-3""","""48""","""left""","""simple""","""mipatorun"""
"51","1003","2","""1""","""13""","""short""","""1-3""","""13""","""left""","""simple""","""vatrus"""
"52","1003","3","""45""","""4""","""short""","""2-4""","""4""","""right""","""simple""","""ratum"""
"53","1003","4","""21""","""9""","""short""","""2-5""","""9""","""right""","""simple""","""lopus"""
"54","1003","5","""42""","""29""","""long""","""1-4""","""42""","""left""","""complex""","""pakuwugnum"""
"55","1003","6","""43""","""32""","""short""","""5-5""","""32""","""left""","""simple""","""bugorn"""
"56","1003","7","""41""","""16""","""long""","""3-4""","""41""","""right""","""complex""","""kibagronan"""
"57","1004","0","""43""","""14""","""long""","""5-5""","""14""","""left""","""simple""","""binivatrus"""
"58","1004","1","""27""","""58""","""short""","""4-5""","""58""","""left""","""simple""","""wugnum"""
"59","1004","2","""45""","""34""","""short""","""2-4""","""45""","""right""","""complex""","""torun"""
"60","1004","3","""30""","""40""","""long""","""3-4""","""40""","""left""","""simple""","""tiburalex"""
"61","1004","4","""21""","""9""","""short""","""2-5""","""21""","""right""","""complex""","""gronan"""
"62","1004","5","""19""","""57""","""short""","""1-1""","""19""","""left""","""complex""","""lopus"""
"63","1004","6","""41""","""31""","""long""","""4-4""","""41""","""left""","""complex""","""gaburatum"""
"64","1004","7","""22""","""54""","""long""","""1-2""","""22""","""left""","""complex""","""tupabugorn"""
"65","1005","0","""36""","""5""","""short""","""2-5""","""5""","""left""","""simple""","""wugnum"""
"66","1005","1","""17""","""54""","""long""","""1-2""","""17""","""right""","""complex""","""tupabugorn"""
"67","1005","2","""45""","""15""","""long""","""1-4""","""45""","""right""","""complex""","""gaburatum"""
"68","1005","3","""37""","""9""","""short""","""2-2""","""9""","""right""","""simple""","""lopus"""
"69","1005","4","""56""","""2""","""long""","""2-3""","""2""","""left""","""simple""","""kibagronan"""
"70","1005","5","""11""","""31""","""short""","""4-4""","""11""","""right""","""complex""","""torun"""
"71","1005","6","""48""","""13""","""long""","""1-3""","""13""","""right""","""simple""","""tiburalex"""
"72","1005","7","""57""","""28""","""short""","""1-1""","""28""","""right""","""simple""","""vatrus"""
"73","1006","0","""37""","""3""","""long""","""1-2""","""37""","""left""","""complex""","""tupabugorn"""
"74","1006","1","""50""","""59""","""short""","""1-3""","""50""","""right""","""complex""","""vatrus"""
"75","1006","2","""14""","""44""","""long""","""1-5""","""44""","""right""","""simple""","""tiburalex"""
