"","X","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"24",24,"A05468182BMYGSEVPONMN",7,"48","10","""long""","""2-3""","""48""","""left""","""complex""","""binivatrus"""
"25",25,"A0548924W0OWP39CRDOV",0,"11","20","""short""","""1-4""","""20""","""right""","""simple""","""vatrus"""
"26",26,"A0548924W0OWP39CRDOV",1,"7","9","""short""","""2-3""","""7""","""left""","""complex""","""lopus"""
"27",27,"A0548924W0OWP39CRDOV",2,"21","13","""long""","""1-5""","""21""","""right""","""complex""","""tiburalex"""
"28",28,"A0548924W0OWP39CRDOV",3,"58","37","""long""","""2-4""","""37""","""right""","""simple""","""tupabugorn"""
"29",29,"A0548924W0OWP39CRDOV",4,"29","28","""long""","""1-1""","""29""","""left""","""complex""","""pakuwugnum"""
"30",30,"A0548924W0OWP39CRDOV",5,"60","40","""short""","""3-3""","""60""","""left""","""complex""","""torun"""
"31",31,"A0548924W0OWP39CRDOV",6,"27","18","""long""","""4-5""","""18""","""left""","""simple""","""kibagronan"""
"32",32,"A0548924W0OWP39CRDOV",7,"42","41","""short""","""4-4""","""42""","""left""","""complex""","""ratum"""
"33",33,"A0607295133OZ2DIJW5P8",0,"11","5","""long""","""2-4""","""11""","""right""","""complex""","""tupabugorn"""
"34",34,"A0607295133OZ2DIJW5P8",1,"27","52","""long""","""5-5""","""27""","""left""","""complex""","""fepolopus"""
"35",35,"A0607295133OZ2DIJW5P8",2,"7","3","""long""","""1-3""","""3""","""left""","""simple""","""mipatorun"""
"36",36,"A0607295133OZ2DIJW5P8",3,"33","8","""short""","""3-5""","""8""","""left""","""simple""","""wugnum"""
"37",37,"A0607295133OZ2DIJW5P8",4,"60","48","""short""","""3-3""","""48""","""right""","""simple""","""ratum"""
"38",38,"A0607295133OZ2DIJW5P8",5,"39","55","""short""","""2-3""","""55""","""right""","""simple""","""gronan"""
"39",39,"A0607295133OZ2DIJW5P8",6,"26","31","""long""","""4-4""","""31""","""right""","""simple""","""binivatrus"""
"40",40,"A0607295133OZ2DIJW5P8",7,"14","46","""short""","""1-5""","""14""","""left""","""complex""","""ralex"""
"41",41,"A06844383SJTPQU97CMSO",0,"60","49","""long""","""2-3""","""49""","""left""","""simple""","""tiburalex"""
"42",42,"A06844383SJTPQU97CMSO",1,"25","30","""short""","""4-5""","""30""","""left""","""simple""","""lopus"""
"43",43,"A06844383SJTPQU97CMSO",2,"36","52","""short""","""5-5""","""36""","""left""","""complex""","""torun"""
"44",44,"A06844383SJTPQU97CMSO",3,"26","47","""short""","""4-4""","""47""","""left""","""simple""","""gronan"""
"45",45,"A06844383SJTPQU97CMSO",4,"31","6","""long""","""2-4""","""31""","""right""","""complex""","""gaburatum"""
"46",46,"A06844383SJTPQU97CMSO",5,"59","54","""long""","""1-1""","""59""","""right""","""complex""","""pakuwugnum"""
"47",47,"A06844383SJTPQU97CMSO",6,"14","5","""short""","""2-5""","""5""","""right""","""simple""","""bugorn"""
"48",48,"A06844383SJTPQU97CMSO",7,"22","34","""long""","""2-2""","""34""","""left""","""simple""","""binivatrus"""
"49",49,"A07470353L7983ZPFPYV2",0,"31","8","""long""","""3-4""","""8""","""left""","""simple""","""gaburatum"""
"50",50,"A07470353L7983ZPFPYV2",1,"55","59","""long""","""1-2""","""59""","""right""","""simple""","""fepolopus"""
"51",51,"A07470353L7983ZPFPYV2",2,"35","29","""short""","""1-5""","""35""","""left""","""complex""","""wugnum"""
"52",52,"A07470353L7983ZPFPYV2",3,"47","20","""short""","""1-4""","""20""","""left""","""simple""","""vatrus"""
"53",53,"A07470353L7983ZPFPYV2",4,"27","11","""short""","""4-5""","""27""","""left""","""complex""","""torun"""
"54",54,"A07470353L7983ZPFPYV2",5,"23","30","""long""","""4-4""","""23""","""left""","""complex""","""tiburalex"""
"55",55,"A07470353L7983ZPFPYV2",6,"14","21","""long""","""5-5""","""21""","""right""","""simple""","""tupabugorn"""
"56",56,"A07470353L7983ZPFPYV2",7,"39","15","""short""","""1-3""","""39""","""right""","""complex""","""gronan"""
"57",57,"A08408192347XLM3EVY76",0,"35","41","""long""","""4-5""","""41""","""left""","""simple""","""tupabugorn"""
"58",58,"A08408192347XLM3EVY76",1,"10","22","""long""","""2-2""","""10""","""right""","""complex""","""fepolopus"""
"59",59,"A08408192347XLM3EVY76",2,"55","20","""short""","""1-2""","""20""","""right""","""simple""","""ratum"""
"60",60,"A08408192347XLM3EVY76",3,"42","58","""short""","""4-4""","""58""","""right""","""simple""","""ralex"""
"61",61,"A08408192347XLM3EVY76",4,"28","57","""short""","""1-1""","""57""","""right""","""simple""","""wugnum"""
"62",62,"A08408192347XLM3EVY76",5,"21","12","""long""","""3-5""","""21""","""right""","""complex""","""kibagronan"""
"63",63,"A08408192347XLM3EVY76",6,"16","54","""short""","""1-3""","""16""","""left""","""complex""","""vatrus"""
"64",64,"A08408192347XLM3EVY76",7,"56","50","""long""","""3-3""","""56""","""right""","""complex""","""mipatorun"""
"65",65,"A103WMUEOOVOK0",0,"5","17","""long""","""2-2""","""17""","""right""","""simple""","""pakuwugnum"""
"66",66,"A103WMUEOOVOK0",1,"41","8","""short""","""3-4""","""41""","""right""","""complex""","""bugorn"""
"67",67,"A103WMUEOOVOK0",2,"32","36","""long""","""5-5""","""32""","""left""","""complex""","""mipatorun"""
"68",68,"A103WMUEOOVOK0",3,"51","57","""short""","""1-4""","""57""","""left""","""simple""","""vatrus"""
"69",69,"A103WMUEOOVOK0",4,"10","29","""short""","""1-2""","""29""","""right""","""simple""","""ratum"""
"70",70,"A103WMUEOOVOK0",5,"46","28","""long""","""1-1""","""28""","""right""","""simple""","""kibagronan"""
"71",71,"A103WMUEOOVOK0",6,"31","42","""long""","""4-4""","""31""","""left""","""complex""","""fepolopus"""
"72",72,"A103WMUEOOVOK0",7,"18","4","""short""","""2-4""","""18""","""right""","""complex""","""ralex"""
"73",73,"A105ETHFWRUGM7",0,"36","48","""short""","""3-5""","""36""","""right""","""complex""","""lopus"""
"74",74,"A105ETHFWRUGM7",1,"12","24","""short""","""3-3""","""24""","""right""","""simple""","""torun"""
"75",75,"A105ETHFWRUGM7",2,"47","59","""long""","""1-4""","""47""","""right""","""complex""","""binivatrus"""
"76",76,"A105ETHFWRUGM7",3,"60","55","""long""","""2-3""","""60""","""right""","""complex""","""gaburatum"""
"77",77,"A105ETHFWRUGM7",4,"29","44","""short""","""1-1""","""44""","""left""","""simple""","""ralex"""
"78",78,"A105ETHFWRUGM7",5,"27","49","""long""","""2-5""","""49""","""right""","""simple""","""pakuwugnum"""
"79",79,"A105ETHFWRUGM7",6,"32","21","""short""","""5-5""","""32""","""right""","""complex""","""bugorn"""
"80",80,"A105ETHFWRUGM7",7,"5","57","""long""","""1-2""","""5""","""left""","""complex""","""kibagronan"""
"81",81,"A106II2T7YOAZU",0,"57","44","""long""","""1-1""","""44""","""right""","""simple""","""kibagronan"""
"82",82,"A106II2T7YOAZU",1,"40","7","""short""","""3-3""","""7""","""right""","""simple""","""ralex"""
"83",83,"A106II2T7YOAZU",2,"31","9","""short""","""2-4""","""31""","""left""","""complex""","""bugorn"""
"84",84,"A106II2T7YOAZU",3,"14","46","""long""","""1-5""","""46""","""right""","""simple""","""binivatrus"""
"85",85,"A106II2T7YOAZU",4,"41","8","""short""","""3-4""","""8""","""right""","""simple""","""ratum"""
"86",86,"A106II2T7YOAZU",5,"12","13","""short""","""1-3""","""13""","""right""","""simple""","""torun"""
"87",87,"A106II2T7YOAZU",6,"52","23","""long""","""4-5""","""23""","""left""","""simple""","""pakuwugnum"""
"88",88,"A106II2T7YOAZU",7,"33","22","""long""","""2-5""","""22""","""left""","""simple""","""fepolopus"""
"89",89,"A108CUUOEG505F",0,"2","6","""long""","""2-2""","""2""","""right""","""complex""","""gaburatum"""
"90",90,"A108CUUOEG505F",1,"16","56","""short""","""3-3""","""16""","""left""","""complex""","""bugorn"""
"91",91,"A108CUUOEG505F",2,"10","46","""short""","""1-2""","""46""","""right""","""simple""","""torun"""
"92",92,"A108CUUOEG505F",3,"36","15","""long""","""1-5""","""15""","""right""","""simple""","""kibagronan"""
"93",93,"A108CUUOEG505F",4,"14","8","""long""","""3-5""","""14""","""right""","""complex""","""binivatrus"""
"94",94,"A108CUUOEG505F",5,"51","3","""short""","""1-4""","""3""","""left""","""simple""","""ralex"""
"95",95,"A108CUUOEG505F",6,"7","54","""long""","""1-3""","""54""","""left""","""simple""","""pakuwugnum"""
"96",96,"A108CUUOEG505F",7,"41","11","""short""","""4-4""","""41""","""right""","""complex""","""lopus"""
"97",97,"A108N19YFY7BID",0,"25","59","""short""","""1-5""","""25""","""left""","""complex""","""vatrus"""
"98",98,"A108N19YFY7BID",1,"48","9","""short""","""2-3""","""48""","""left""","""complex""","""ratum"""
"99",99,"A108N19YFY7BID",2,"32","27","""long""","""5-5""","""27""","""right""","""simple""","""fepolopus"""
"100",100,"A108N19YFY7BID",3,"43","10","""long""","""2-5""","""10""","""left""","""simple""","""tiburalex"""
"101",101,"A108N19YFY7BID",4,"41","22","""long""","""2-4""","""22""","""right""","""simple""","""tupabugorn"""
"102",102,"A108N19YFY7BID",5,"11","29","""short""","""1-4""","""11""","""right""","""complex""","""wugnum"""
"103",103,"A108N19YFY7BID",6,"30","7","""short""","""3-4""","""30""","""right""","""complex""","""gronan"""
"104",104,"A108N19YFY7BID",7,"49","54","""long""","""1-2""","""54""","""left""","""simple""","""mipatorun"""
"105",105,"A10DGGOQ9N186P",0,"1","20","""long""","""1-3""","""20""","""right""","""simple""","""mipatorun"""
"106",106,"A10DGGOQ9N186P",1,"35","48","""short""","""3-5""","""48""","""left""","""simple""","""gronan"""
"107",107,"A10DGGOQ9N186P",2,"11","29","""long""","""1-4""","""11""","""right""","""complex""","""fepolopus"""
"108",108,"A10DGGOQ9N186P",3,"39","6","""long""","""2-3""","""6""","""left""","""simple""","""tupabugorn"""
"109",109,"A10DGGOQ9N186P",4,"53","32","""long""","""5-5""","""32""","""left""","""simple""","""gaburatum"""
"110",110,"A10DGGOQ9N186P",5,"49","55","""short""","""2-2""","""49""","""left""","""complex""","""wugnum"""
"111",111,"A10DGGOQ9N186P",6,"58","34","""short""","""2-4""","""34""","""right""","""simple""","""vatrus"""
"112",112,"A10DGGOQ9N186P",7,"26","56","""short""","""3-4""","""56""","""right""","""simple""","""ralex"""
"113",113,"A10DHEIDKZR0IJ",0,"18","6","""short""","""2-4""","""18""","""left""","""complex""","""vatrus"""
"114",114,"A10DHEIDKZR0IJ",1,"43","9","""long""","""2-5""","""9""","""right""","""simple""","""mipatorun"""
"115",115,"A10DHEIDKZR0IJ",2,"55","2","""short""","""2-2""","""2""","""right""","""simple""","""lopus"""
"116",116,"A10DHEIDKZR0IJ",3,"40","24","""short""","""3-3""","""24""","""left""","""simple""","""bugorn"""
"117",117,"A10DHEIDKZR0IJ",4,"42","39","""long""","""3-4""","""42""","""right""","""complex""","""tiburalex"""
"118",118,"A10DHEIDKZR0IJ",5,"59","46","""long""","""1-1""","""46""","""left""","""simple""","""pakuwugnum"""
"119",119,"A10DHEIDKZR0IJ",6,"32","31","""long""","""4-5""","""32""","""right""","""complex""","""kibagronan"""
"120",120,"A10DHEIDKZR0IJ",7,"4","13","""short""","""1-2""","""4""","""right""","""complex""","""ratum"""
"121",121,"A10DM8LZLXL464",0,"32","3","""short""","""1-5""","""3""","""left""","""simple""","""bugorn"""
"122",122,"A10DM8LZLXL464",1,"38","40","""long""","""3-5""","""38""","""right""","""complex""","""mipatorun"""
"123",123,"A10DM8LZLXL464",2,"47","45","""short""","""4-4""","""47""","""right""","""complex""","""lopus"""
"124",124,"A10DM8LZLXL464",3,"53","30","""short""","""4-5""","""30""","""right""","""simple""","""ratum"""
"125",125,"A10DM8LZLXL464",4,"28","13","""long""","""1-1""","""28""","""left""","""complex""","""binivatrus"""
"126",126,"A10DM8LZLXL464",5,"39","48","""long""","""3-3""","""48""","""left""","""simple""","""tiburalex"""
"127",127,"A10DM8LZLXL464",6,"23","2","""short""","""2-4""","""2""","""left""","""simple""","""wugnum"""
"128",128,"A10DM8LZLXL464",7,"14","35","""long""","""5-5""","""14""","""left""","""complex""","""kibagronan"""
"129",129,"A10IHZ0KF3B4NA",0,"45","56","""long""","""3-4""","""45""","""left""","""complex""","""pakuwugnum"""
"130",130,"A10IHZ0KF3B4NA",1,"35","46","""short""","""1-5""","""46""","""right""","""simple""","""ratum"""
"131",131,"A10IHZ0KF3B4NA",2,"48","19","""short""","""1-3""","""19""","""right""","""simple""","""gronan"""
"132",132,"A10IHZ0KF3B4NA",3,"28","15","""long""","""1-1""","""28""","""left""","""complex""","""binivatrus"""
"133",133,"A10IHZ0KF3B4NA",4,"51","41","""short""","""4-4""","""41""","""right""","""simple""","""lopus"""
"134",134,"A10IHZ0KF3B4NA",5,"34","20","""short""","""1-2""","""20""","""left""","""simple""","""ralex"""
"135",135,"A10IHZ0KF3B4NA",6,"52","6","""long""","""2-5""","""52""","""left""","""complex""","""mipatorun"""
"136",136,"A10IHZ0KF3B4NA",7,"43","36","""long""","""5-5""","""43""","""left""","""complex""","""tupabugorn"""
"137",137,"A10NAX1WPXMFT2",0,"58","29","""short""","""1-4""","""58""","""left""","""complex""","""vatrus"""
"138",138,"A10NAX1WPXMFT2",1,"35","9","""long""","""2-5""","""35""","""right""","""complex""","""tupabugorn"""
"139",139,"A10NAX1WPXMFT2",2,"32","38","""short""","""5-5""","""32""","""left""","""complex""","""gronan"""
"140",140,"A10NAX1WPXMFT2",3,"40","15","""short""","""1-3""","""40""","""left""","""complex""","""wugnum"""
"141",141,"A10NAX1WPXMFT2",4,"2","20","""long""","""1-2""","""20""","""right""","""simple""","""mipatorun"""
"142",142,"A10NAX1WPXMFT2",5,"14","54","""short""","""1-5""","""54""","""left""","""simple""","""lopus"""
"143",143,"A10NAX1WPXMFT2",6,"3","28","""long""","""1-1""","""28""","""right""","""simple""","""tiburalex"""
"144",144,"A10NAX1WPXMFT2",7,"25","47","""long""","""4-5""","""47""","""right""","""simple""","""gaburatum"""
"145",145,"A10SUPT94QJPN7",0,"60","5","""long""","""2-3""","""5""","""left""","""simple""","""kibagronan"""
"146",146,"A10SUPT94QJPN7",1,"40","24","""long""","""3-3""","""40""","""right""","""complex""","""binivatrus"""
"147",147,"A10SUPT94QJPN7",2,"45","9","""short""","""2-4""","""45""","""right""","""complex""","""torun"""
"148",148,"A10SUPT94QJPN7",3,"10","13","""short""","""1-2""","""10""","""left""","""complex""","""ralex"""
"149",149,"A10SUPT94QJPN7",4,"18","51","""short""","""4-4""","""18""","""right""","""complex""","""bugorn"""
"150",150,"A10SUPT94QJPN7",5,"21","27","""long""","""5-5""","""27""","""right""","""simple""","""gaburatum"""
"151",151,"A10SUPT94QJPN7",6,"20","46","""short""","""1-1""","""20""","""left""","""complex""","""wugnum"""
"152",152,"A10SUPT94QJPN7",7,"43","22","""long""","""2-5""","""43""","""left""","""complex""","""fepolopus"""
"153",153,"A10XYFXQYJKBXF",0,"35","16","""short""","""3-5""","""16""","""right""","""simple""","""torun"""
"154",154,"A10XYFXQYJKBXF",1,"45","34","""long""","""2-4""","""45""","""left""","""complex""","""tiburalex"""
"155",155,"A10XYFXQYJKBXF",2,"52","17","""long""","""2-5""","""52""","""right""","""complex""","""pakuwugnum"""
"156",156,"A10XYFXQYJKBXF",3,"56","44","""short""","""1-3""","""56""","""right""","""complex""","""gronan"""
"157",157,"A10XYFXQYJKBXF",4,"53","51","""short""","""4-5""","""53""","""right""","""complex""","""vatrus"""
"158",158,"A10XYFXQYJKBXF",5,"10","22","""long""","""2-2""","""22""","""right""","""simple""","""tupabugorn"""
"159",159,"A10XYFXQYJKBXF",6,"42","31","""long""","""4-4""","""31""","""right""","""simple""","""gaburatum"""
"160",160,"A10XYFXQYJKBXF",7,"30","57","""short""","""1-4""","""57""","""left""","""simple""","""lopus"""
"161",161,"A1159EV0HX7QLZ",0,"7","55","""long""","""2-3""","""55""","""left""","""simple""","""fepolopus"""
"162",162,"A1159EV0HX7QLZ",1,"27","50","""short""","""3-5""","""27""","""right""","""complex""","""bugorn"""
"163",163,"A1159EV0HX7QLZ",2,"45","1","""short""","""3-4""","""1""","""right""","""simple""","""torun"""
"164",164,"A1159EV0HX7QLZ",3,"52","58","""long""","""4-5""","""52""","""left""","""complex""","""binivatrus"""
"165",165,"A1159EV0HX7QLZ",4,"21","44","""long""","""1-5""","""44""","""left""","""simple""","""kibagronan"""
"166",166,"A1159EV0HX7QLZ",5,"26","20","""long""","""1-4""","""26""","""right""","""complex""","""tiburalex"""
"167",167,"A1159EV0HX7QLZ",6,"28","13","""short""","""1-1""","""13""","""left""","""simple""","""wugnum"""
"168",168,"A1159EV0HX7QLZ",7,"31","6","""short""","""2-4""","""31""","""right""","""complex""","""ratum"""
"169",169,"A11HW2YHQ89EQG",0,"6","29","""long""","""1-2""","""29""","""right""","""simple""","""fepolopus"""
"170",170,"A11HW2YHQ89EQG",1,"19","28","""short""","""1-1""","""28""","""right""","""simple""","""vatrus"""
"171",171,"A11HW2YHQ89EQG",2,"33","12","""short""","""3-5""","""12""","""right""","""simple""","""ratum"""
"172",172,"A11HW2YHQ89EQG",3,"48","50","""long""","""3-3""","""48""","""right""","""complex""","""tiburalex"""
"173",173,"A11HW2YHQ89EQG",4,"9","17","""long""","""2-2""","""9""","""left""","""complex""","""pakuwugnum"""
"174",174,"A11HW2YHQ89EQG",5,"42","7","""short""","""3-4""","""7""","""right""","""simple""","""gronan"""
"175",175,"A11HW2YHQ89EQG",6,"52","11","""short""","""4-5""","""52""","""left""","""complex""","""bugorn"""
"176",176,"A11HW2YHQ89EQG",7,"21","25","""long""","""5-5""","""21""","""right""","""complex""","""mipatorun"""
"177",177,"A11KIHHXGN8XCA",0,"1","8","""short""","""3-3""","""8""","""left""","""simple""","""wugnum"""
"178",178,"A11KIHHXGN8XCA",1,"39","54","""long""","""1-3""","""54""","""right""","""simple""","""kibagronan"""
"179",179,"A11KIHHXGN8XCA",2,"21","53","""short""","""5-5""","""53""","""right""","""simple""","""torun"""
"180",180,"A11KIHHXGN8XCA",3,"10","22","""short""","""2-2""","""10""","""left""","""complex""","""vatrus"""
"181",181,"A11KIHHXGN8XCA",4,"29","57","""short""","""1-1""","""57""","""right""","""simple""","""ralex"""
"182",182,"A11KIHHXGN8XCA",5,"27","45","""long""","""4-5""","""45""","""right""","""simple""","""gaburatum"""
"183",183,"A11KIHHXGN8XCA",6,"58","44","""long""","""1-4""","""58""","""right""","""complex""","""tupabugorn"""
"184",184,"A11KIHHXGN8XCA",7,"undefined","41","""long""","""4-4""","""41""","""right""","""simple""","""fepolopus"""
"185",185,"A11KMASRERFP0V",0,"42","16","""long""","""3-4""","""42""","""right""","""complex""","""pakuwugnum"""
"186",186,"A11KMASRERFP0V",1,"14","49","""short""","""2-5""","""14""","""right""","""complex""","""vatrus"""
"187",187,"A11KMASRERFP0V",2,"7","39","""short""","""3-3""","""39""","""left""","""simple""","""lopus"""
"188",188,"A11KMASRERFP0V",3,"34","6","""short""","""2-2""","""34""","""right""","""complex""","""ralex"""
"189",189,"A11KMASRERFP0V",4,"24","9","""long""","""2-3""","""24""","""right""","""complex""","""gaburatum"""
"190",190,"A11KMASRERFP0V",5,"53","8","""short""","""3-5""","""8""","""right""","""simple""","""torun"""
"191",191,"A11KMASRERFP0V",6,"1","28","""long""","""1-3""","""1""","""left""","""complex""","""tupabugorn"""
"192",192,"A11KMASRERFP0V",7,"18","10","""long""","""2-4""","""10""","""left""","""simple""","""kibagronan"""
"193",193,"A11T73EGLD6NRQ",0,"37","20","""long""","""1-2""","""37""","""left""","""complex""","""kibagronan"""
"194",194,"A11T73EGLD6NRQ",1,"21","10","""short""","""2-5""","""21""","""left""","""complex""","""ralex"""
"195",195,"A11T73EGLD6NRQ",2,"42","55","""short""","""2-4""","""55""","""right""","""simple""","""torun"""
"196",196,"A11T73EGLD6NRQ",3,"6","5","""long""","""2-2""","""5""","""left""","""simple""","""tupabugorn"""
"197",197,"A11T73EGLD6NRQ",4,"47","15","""short""","""1-4""","""47""","""left""","""complex""","""vatrus"""
"198",198,"A11T73EGLD6NRQ",5,"23","16","""long""","""3-4""","""16""","""right""","""simple""","""fepolopus"""
"199",199,"A11T73EGLD6NRQ",6,"38","58","""long""","""4-5""","""38""","""left""","""complex""","""pakuwugnum"""
"200",200,"A11T73EGLD6NRQ",7,"36","33","""short""","""5-5""","""33""","""left""","""simple""","""ratum"""
"201",201,"A11WSO7BHGJ5CT",0,"27","41","""long""","""4-5""","""41""","""left""","""simple""","""tupabugorn"""
"202",202,"A11WSO7BHGJ5CT",1,"12","7","""short""","""3-3""","""12""","""left""","""complex""","""ralex"""
"203",203,"A11WSO7BHGJ5CT",2,"13","54","""short""","""1-1""","""54""","""left""","""simple""","""vatrus"""
"204",204,"A11WSO7BHGJ5CT",3,"51","30","""short""","""4-4""","""30""","""left""","""simple""","""lopus"""
"205",205,"A11WSO7BHGJ5CT",4,"34","57","""long""","""1-2""","""57""","""left""","""simple""","""pakuwugnum"""
"206",206,"A11WSO7BHGJ5CT",5,"10","55","""long""","""2-2""","""55""","""left""","""simple""","""kibagronan"""
"207",207,"A11WSO7BHGJ5CT",6,"38","49","""long""","""2-5""","""38""","""left""","""complex""","""gaburatum"""
"208",208,"A11WSO7BHGJ5CT",7,"50","44","""short""","""1-3""","""44""","""left""","""simple""","""torun"""
"209",209,"A124D6QW6I80H6",0,"55","10","""long""","""2-2""","""10""","""right""","""simple""","""tiburalex"""
"210",210,"A124D6QW6I80H6",1,"23","8","""short""","""3-4""","""8""","""right""","""simple""","""lopus"""
"211",211,"A124D6QW6I80H6",2,"37","20","""long""","""1-2""","""37""","""right""","""complex""","""tupabugorn"""
"212",212,"A124D6QW6I80H6",3,"3","44","""long""","""1-1""","""44""","""left""","""simple""","""mipatorun"""
"213",213,"A124D6QW6I80H6",4,"38","35","""short""","""5-5""","""38""","""right""","""complex""","""gronan"""
"214",214,"A124D6QW6I80H6",5,"32","22","""long""","""2-5""","""32""","""right""","""complex""","""gaburatum"""
"215",215,"A124D6QW6I80H6",6,"41","6","""short""","""2-4""","""6""","""left""","""simple""","""wugnum"""
"216",216,"A124D6QW6I80H6",7,"52","16","""short""","""3-5""","""52""","""right""","""complex""","""vatrus"""
"217",217,"A124NJNCAG5E6E",0,"38","23","""short""","""4-5""","""23""","""right""","""simple""","""bugorn"""
"218",218,"A124NJNCAG5E6E",1,"58","30","""short""","""4-4""","""30""","""left""","""simple""","""lopus"""
"219",219,"A124NJNCAG5E6E",2,"26","10","""long""","""2-4""","""10""","""right""","""simple""","""kibagronan"""
"220",220,"A124NJNCAG5E6E",3,"55","15","""long""","""1-2""","""55""","""right""","""complex""","""pakuwugnum"""
"221",221,"A124NJNCAG5E6E",4,"35","5","""long""","""2-5""","""35""","""left""","""complex""","""tiburalex"""
"222",222,"A124NJNCAG5E6E",5,"27","28","""short""","""1-5""","""28""","""left""","""simple""","""ratum"""
"223",223,"A124NJNCAG5E6E",6,"8","7","""long""","""3-3""","""8""","""left""","""complex""","""binivatrus"""
"224",224,"A124NJNCAG5E6E",7,"43","21","""short""","""5-5""","""21""","""left""","""simple""","""torun"""
"225",225,"A125FN8IYVB93O",0,"52","51","""short""","""4-5""","""52""","""right""","""complex""","""ratum"""
"226",226,"A125FN8IYVB93O",1,"11","6","""long""","""2-4""","""6""","""right""","""simple""","""binivatrus"""
"227",227,"A125FN8IYVB93O",2,"42","45","""long""","""4-4""","""42""","""left""","""complex""","""kibagronan"""
"228",228,"A125FN8IYVB93O",3,"9","4","""long""","""2-2""","""9""","""left""","""complex""","""mipatorun"""
"229",229,"A125FN8IYVB93O",4,"26","59","""short""","""1-4""","""59""","""left""","""simple""","""bugorn"""
"230",230,"A125FN8IYVB93O",5,"21","60","""short""","""3-5""","""60""","""right""","""simple""","""ralex"""
"231",231,"A125FN8IYVB93O",6,"32","35","""short""","""5-5""","""32""","""left""","""complex""","""lopus"""
"232",232,"A125FN8IYVB93O",7,"16","39","""long""","""3-3""","""39""","""right""","""simple""","""pakuwugnum"""
"233",233,"A1263R4WB5L2N2",0,"14","12","""long""","""3-5""","""14""","""right""","""complex""","""gaburatum"""
"234",234,"A1263R4WB5L2N2",1,"53","29","""short""","""1-5""","""29""","""left""","""simple""","""lopus"""
"235",235,"A1263R4WB5L2N2",2,"30","17","""long""","""2-4""","""30""","""left""","""complex""","""tiburalex"""
"236",236,"A1263R4WB5L2N2",3,"51","50","""long""","""3-4""","""51""","""right""","""complex""","""pakuwugnum"""
"237",237,"A1263R4WB5L2N2",4,"21","9","""short""","""2-5""","""9""","""right""","""simple""","""bugorn"""
"238",238,"A1263R4WB5L2N2",5,"55","2","""long""","""2-2""","""55""","""right""","""complex""","""binivatrus"""
