"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word","criticalSimple_c.norms","criticalComplicated_c.norms","criticalSimple_rt.norms","criticalComplicated_rt.norms","c.ratio","rt.ratio"
"1","A05062513MWBSOJW7FC52","0","46","11","""long""","""1-4""","""4-6""","""left""","""complex""","""tiburalex""",0.198905525846702,0.614648336563144,7.04719236357878,7.4808403912451,0.323608662082937,0.942032177537991
"2","A05062513MWBSOJW7FC52","1","52","43","""short""","""4-5""","""5-2""","""right""","""complex""","""torun""",0.59194499618029,0.732388591800357,7.51389426853832,7.40911860957558,0.808238963314777,1.01414144711185
"3","A05062513MWBSOJW7FC52","2","38","34","""long""","""3-3""","""3-4""","""right""","""simple""","""kibagronan""",0.454706120023767,0.592708884510742,7.34365297144576,7.37820860586072,0.767166026875249,0.995316527864567
"4","A05062513MWBSOJW7FC52","3","27","18","""long""","""1-2""","""2-7""","""right""","""complex""","""tupabugorn""",0.213287175157144,0.498480635229298,7.15638039732531,7.25324083665048,0.427874545335213,0.986645908841778
"5","A05062513MWBSOJW7FC52","4","45","37","""short""","""3-4""","""4-5""","""left""","""complex""","""lopus""",0.491521184697655,0.60023659050397,7.4576421040624,7.45011405562092,0.818879076140567,1.00101046083124
"6","A05062513MWBSOJW7FC52","5","44","46","""short""","""4-4""","""4-4""","""right""","""complex""","""vatrus""",0.614648336563144,0.599862745098039,7.4808403912451,7.44415965744716,1.02464829093977,1.00492745124848
"7","A05062513MWBSOJW7FC52","6","43","22","""short""","""2-4""","""4-3""","""right""","""complex""","""wugnum""",0.400489205783323,0.59194499618029,7.22323860108545,7.51389426853832,0.676564897697598,0.961317572876972
"8","A05062513MWBSOJW7FC52","7","31","25","""long""","""2-3""","""2-5""","""left""","""simple""","""gaburatum""",0.365537163309983,0.589474738918958,7.28993416391881,7.26311607655564,0.620106578240052,1.00369236662068
"9","A108N19YFY7BID","0","17","14","""short""","""1-1""","""1-7""","""left""","""complex""","""wugnum""",0.205391265597148,0.226620320855615,7.106017880143,7.21094692940482,0.906323249484796,0.985448644915976
"10","A108N19YFY7BID","1","21","15","""long""","""1-2""","""2-1""","""right""","""complex""","""kibagronan""",0.171708853238265,0.396717626087868,7.13330511343712,7.25000948926994,0.432823857441196,0.983902865781687
"11","A108N19YFY7BID","2","38","16","""short""","""1-3""","""3-8""","""left""","""complex""","""bugorn""",0.0961516339869281,0.592708884510742,7.07781498740677,7.37820860586072,0.162224047082232,0.959286374986018
"12","A108N19YFY7BID","3","43","21","""long""","""2-4""","""4-3""","""right""","""complex""","""binivatrus""",0.396717626087868,0.59194499618029,7.25000948926994,7.51389426853832,0.670193394061631,0.964880424206486
"13","A108N19YFY7BID","4","52","18","""short""","""1-5""","""5-2""","""left""","""complex""","""lopus""",0.213287175157144,0.732388591800357,7.15638039732531,7.40911860957558,0.291221323686708,0.965888221586353
"14","A108N19YFY7BID","5","54","47","""long""","""4-5""","""5-4""","""left""","""complex""","""gaburatum""",0.596326967150497,0.614266488413547,7.40403330391097,7.52245949482209,0.970795214127044,0.984256985233003
"15","A108N19YFY7BID","6","46","33","""short""","""3-4""","""3-3""","""left""","""simple""","""ralex""",0.437312451087946,0.614648336563144,7.35231805220081,7.4808403912451,0.711483990232877,0.982819799337692
"16","A108N19YFY7BID","7","45","12","""long""","""1-4""","""4-5""","""right""","""complex""","""mipatorun""",0.067770971422087,0.60023659050397,7.12566153316537,7.45011405562092,0.112907097791531,0.95644999257283
"17","A10EEFN0OZB72L","0","57","58","""long""","""5-5""","""5-7""","""left""","""complex""","""tupabugorn""",0.627812012463534,0.657452317290553,7.5809576218774,7.53194766740618,0.954916418959217,1.00650694304254
"18","A10EEFN0OZB72L","1","28","22","""short""","""2-2""","""2-2""","""right""","""simple""","""ratum""",0.400489205783323,0.388259920156472,7.22323860108545,7.14928546016887,1.03149767717956,1.01034413037899
"19","A10EEFN0OZB72L","2","54","46","""short""","""4-5""","""5-4""","""left""","""complex""","""gronan""",0.614648336563144,0.614266488413547,7.4808403912451,7.52245949482209,1.0006216327226,0.994467354246887
"20","A10EEFN0OZB72L","3","32","37","""short""","""3-3""","""3-2""","""left""","""complex""","""torun""",0.491521184697655,0.500260812458955,7.4576421040624,7.34357497749828,0.982529857339131,1.01553291508749
"21","A10EEFN0OZB72L","4","45","31","""long""","""3-4""","""3-1""","""right""","""simple""","""fepolopus""",0.589474738918958,0.60023659050397,7.26311607655564,7.45011405562092,0.982070650548018,0.974899984393636
"22","A10EEFN0OZB72L","5","56","14","""short""","""1-5""","""5-6""","""right""","""complex""","""vatrus""",0.205391265597148,0.598802900536869,7.106017880143,7.46635694988485,0.343003124088077,0.951738301267875
"23","A10EEFN0OZB72L","6","43","45","""long""","""4-4""","""4-3""","""left""","""complex""","""tiburalex""",0.60023659050397,0.59194499618029,7.45011405562092,7.51389426853832,1.01400737294374,0.991511696779597
"24","A10EEFN0OZB72L","7","11","13","""long""","""1-1""","""1-3""","""left""","""simple""","""pakuwugnum""",0.240463209407226,0.198905525846702,7.12022004272548,7.04719236357878,1.20893176991248,1.01036266294136
"25","A10HW8RXNLY16Z","0","18","15","""long""","""1-1""","""1-5""","""right""","""simple""","""kibagronan""",0.171708853238265,0.213287175157144,7.13330511343712,7.15638039732531,0.805059437407593,0.996775564935479
"26","A10HW8RXNLY16Z","1","53","28","""short""","""2-5""","""2-8""","""left""","""simple""","""wugnum""",0.388259920156472,0.650860276977924,7.14928546016887,7.49631198228932,0.596533440263464,0.953707033146389
"27","A10HW8RXNLY16Z","2","54","13","""long""","""1-5""","""1-3""","""right""","""simple""","""tupabugorn""",0.240463209407226,0.614266488413547,7.12022004272548,7.52245949482209,0.391463988257385,0.946528199670137
"28","A10HW8RXNLY16Z","3","42","41","""long""","""4-4""","""4-2""","""left""","""complex""","""tiburalex""",0.559609180035651,0.601591200602591,7.47238209549203,7.38357413673939,0.93021503551766,1.01202777369171
"29","A10HW8RXNLY16Z","4","56","42","""short""","""4-5""","""5-6""","""right""","""complex""","""ratum""",0.601591200602591,0.598802900536869,7.38357413673939,7.46635694988485,1.00465645718019,0.98891255619024
"30","A10HW8RXNLY16Z","5","47","14","""short""","""1-4""","""4-7""","""left""","""complex""","""lopus""",0.205391265597148,0.596326967150497,7.106017880143,7.40403330391097,0.344427263751956,0.959749583566763
"31","A10HW8RXNLY16Z","6","41","36","""long""","""3-4""","""3-6""","""left""","""simple""","""binivatrus""",0.52237068011997,0.559609180035651,7.37717323948312,7.47238209549203,0.933456238310264,0.987258566974734
"32","A10HW8RXNLY16Z","7","25","17","""short""","""1-2""","""2-5""","""left""","""complex""","""torun""",0.226620320855615,0.365537163309983,7.21094692940482,7.28993416391881,0.619965200811706,0.989164890554851
"33","A10LQ8RUWDUI5U","0","58","33","""short""","""3-5""","""3-3""","""left""","""simple""","""ratum""",0.437312451087946,0.627812012463534,7.35231805220081,7.5809576218774,0.696565918469658,0.969840278619053
"34","A10LQ8RUWDUI5U","1","23","17","""short""","""1-2""","""1-7""","""left""","""simple""","""ralex""",0.226620320855615,0.393164349376114,7.21094692940482,7.2537688186413,0.57640099163422,0.994096601324482
"35","A10LQ8RUWDUI5U","2","44","36","""long""","""3-4""","""4-4""","""right""","""complex""","""fepolopus""",0.52237068011997,0.599862745098039,7.37717323948312,7.44415965744716,0.870817006704752,0.991001480214489
"36","A10LQ8RUWDUI5U","3","42","11","""long""","""1-4""","""4-2""","""left""","""complex""","""mipatorun""",0.198905525846702,0.601591200602591,7.04719236357878,7.38357413673939,0.330632372360942,0.954441877750393
"37","A10LQ8RUWDUI5U","4","51","52","""long""","""5-5""","""5-2""","""right""","""simple""","""kibagronan""",0.732388591800357,0.643812070282659,7.40911860957558,7.55152734409631,1.13758133096015,0.981141730933139
"38","A10LQ8RUWDUI5U","5","15","14","""short""","""1-1""","""1-5""","""left""","""complex""","""vatrus""",0.205391265597148,0.171708853238265,7.106017880143,7.13330511343712,1.19616002159274,0.996174671788156
"39","A10LQ8RUWDUI5U","6","36","38","""short""","""3-3""","""3-6""","""left""","""complex""","""bugorn""",0.592708884510742,0.52237068011997,7.37820860586072,7.37717323948312,1.13465189963307,1.00014034730431
"40","A10LQ8RUWDUI5U","7","27","25","""long""","""2-2""","""2-5""","""right""","""simple""","""pakuwugnum""",0.365537163309983,0.498480635229298,7.28993416391881,7.25324083665048,0.733302634999729,1.00505888720569
"41","A10NAX1WPXMFT2","0","57","18","""long""","""1-5""","""1-8""","""right""","""simple""","""binivatrus""",0.213287175157144,0.657452317290553,7.15638039732531,7.53194766740618,0.324414667874513,0.95013676585857
"42","A10NAX1WPXMFT2","1","43","37","""long""","""3-4""","""4-3""","""right""","""complex""","""fepolopus""",0.491521184697655,0.59194499618029,7.4576421040624,7.51389426853832,0.830349420755896,0.99251358051291
"43","A10NAX1WPXMFT2","2","36","35","""short""","""3-3""","""3-6""","""right""","""complex""","""bugorn""",0.545940690325717,0.52237068011997,7.38057144653556,7.37717323948312,1.04512123498266,1.00046063809838
