subid ,trialnum,critORfill,word,pic1,pic2,pic1c,pic2c,side,chosenpic,response,trialtype,predicted response,date,time,birthdate,age ,male,exclusion ,trunc_age
71013-1,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/10/13,,5/27/10,3.12,0,-,3
71013-1,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/10/13,,5/27/10,3.12,0,-,3
71013-1,3,critical,fepo,43,20,C,S,R,20,S,S,C,7/10/13,,5/27/10,3.12,0,-,3
71013-1,4,critical,tibu,28,31,S,C,R,31,C,S,I,7/10/13,,5/27/10,3.12,0,-,3
71013-1,5,critical,bapidokum,52,15,C,S,L,52,C,L,C,7/10/13,,5/27/10,3.12,0,-,3
71013-1,6,critical,paku,53,6,C,S,L,53,C,S,I,7/10/13,,5/27/10,3.12,0,-,3
71013-1,7,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/10/13,,5/27/10,3.12,0,-,3
71013-1,8,critical,mipa,51,29,C,S,L,51,C,S,I,7/10/13,,5/27/10,3.12,0,-,3
71013-1,9,critical,kibagronan,25,57,C,S,R,57,S,L,I,7/10/13,,5/27/10,3.12,0,load,3
71013-1,10,critical,gaburatum,35,59,C,S,R,59,S,L,I,7/10/13,,5/27/10,3.12,0,-,3
71013-1,11,critical,tupabugorn,38,3,C,S,R,3,S,L,I,7/10/13,,5/27/10,3.12,0,-,3
71013-1,12,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/10/13,,3/30/08,3.12,0,-,3
71013-2,1,filler,banana,101,102,NA,NA,L,101,N,L,NA,7/10/13,,3/30/08,5.28,0,listen,5
71013-2,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/10/13,,3/30/08,5.28,0,-,5
71013-2,3,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/10/13,,3/30/08,5.28,0,-,5
71013-2,4,critical,kibagronan,18,46,C,S,L,18,C,L,C,7/10/13,,3/30/08,5.28,0,-,5
71013-2,5,critical,gabu,38,54,C,S,L,38,C,S,I,7/10/13,,3/30/08,5.28,0,-,5
71013-2,6,critical,tupa,51,37,C,S,L,51,C,S,I,7/10/13,,3/30/08,5.28,0,-,5
71013-2,7,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/10/13,,3/30/08,5.28,0,-,5
71013-2,8,critical,pakuwugnum,27,3,C,S,L,27,C,L,C,7/10/13,,3/30/08,5.28,0,-,5
