"","obj","log.rt","cih","cil"
"1","""1-1""",7.04719236357878,0.103675666391569,0.105386067121426
"2","""1-2""",7.12566153316537,0.0931706002397963,0.0987215535676107
"3","""1-3""",7.12022004272548,0.107088080334515,0.113334199627236
"4","""1-4""",7.106017880143,0.105593580907865,0.121414645907945
"5","""1-5""",7.13330511343712,0.12389130530503,0.122137967100096
"6","""1-6""",7.07781498740677,0.114823144114841,0.115173036722449
"7","""1-7""",7.21094692940482,0.106563879573669,0.127326497312329
"8","""1-8""",7.15638039732531,0.108419035944119,0.0975044235342306
"9","""2-1""",7.25000948926994,0.127202347200833,0.119720518758204
"10","""2-2""",7.22323860108545,0.115154313121387,0.118950964410656
"11","""2-3""",7.2537688186413,0.13393556275684,0.126057548016364
"12","""2-4""",7.29336768842468,0.126915551809317,0.128173901770915
"13","""2-5""",7.28993416391881,0.13217771389114,0.122261108838872
"14","""2-6""",7.30024971724876,0.109914653395767,0.10726936912126
"15","""2-7""",7.25324083665048,0.148304851012939,0.137658417875251
"16","""2-8""",7.14928546016887,0.120668543138343,0.11675313649741
"17","""3-1""",7.26311607655564,0.148630841086089,0.126656811578027
"18","""3-2""",7.34357497749828,0.125940377121502,0.123454220047749
"19","""3-3""",7.35231805220081,0.134697511048698,0.133487587058634
"20","""3-4""",7.34365297144576,0.118899498685543,0.110331059883033
"21","""3-5""",7.38057144653556,0.103740999201833,0.10701961562408
"22","""3-6""",7.37717323948312,0.120287219081205,0.116952853099773
"23","""3-7""",7.4576421040624,0.110627675586627,0.105055436098771
"24","""3-8""",7.37820860586072,0.108465526714502,0.1006433348801
"25","""4-1""",7.47238209549203,0.107503020775513,0.115708585879096
"26","""4-2""",7.38357413673939,0.111632444573535,0.0936723887290638
"27","""4-3""",7.51389426853832,0.129212059900853,0.113990378459739
"28","""4-4""",7.44415965744716,0.121315619547035,0.120234666354417
"29","""4-5""",7.45011405562092,0.123569596186353,0.116896653822386
"30","""4-6""",7.4808403912451,0.11776838700287,0.118894863719557
"31","""4-7""",7.40403330391097,0.111684219003923,0.12416682177169
"32","""4-8""",7.48492849833601,0.115043229278423,0.121203042605401
"33","""5-1""",7.55152734409631,0.115102432400145,0.123015555006192
"34","""5-2""",7.40911860957558,0.120675963322026,0.124940701742258
"35","""5-3""",7.49631198228932,0.111285845849783,0.121686069335144
"36","""5-4""",7.52245949482209,0.138310429263152,0.134320327032773
"37","""5-5""",7.41937065134264,0.136842263655996,0.136887555867519
"38","""5-6""",7.46635694988485,0.130989885271303,0.145047879882298
"39","""5-7""",7.53194766740618,0.11003259902647,0.110159667702553
"40","""5-8""",7.5809576218774,0.111846615885502,0.107770206745548
