"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word","criticalSimple_c.norms","criticalComplicated_c.norms","criticalSimple_rt.norms","criticalComplicated_rt.norms","c.ratio","rt.ratio"
"14","10","5","5-5","4-4","""short""","""4-5""","""4-4""","""left""","""simple""","""wugnum""",0.599862745098039,0.654049197860962,7.44415965744716,7.41937065134264,0.917152328998893,1.00334111978892
"15","10","6","4-2","1-7","""long""","""1-4""","""4-2""","""right""","""complex""","""tiburalex""",0.226620320855615,0.601591200602591,7.21094692940482,7.38357413673939,0.376701521944832,0.976620102387053
"16","10","7","3-1","2-8","""long""","""2-3""","""3-1""","""left""","""complex""","""kibagronan""",0.388259920156472,0.589474738918958,7.14928546016887,7.26311607655564,0.658654043205489,0.984327578523191
"17","100","0","1-7","1-8","""short""","""1-1""","""1-7""","""left""","""complex""","""torun""",0.213287175157144,0.226620320855615,7.15638039732531,7.21094692940482,0.941165268639056,0.992432820181078
"18","100","1","3-8","1-5","""long""","""1-3""","""1-5""","""right""","""simple""","""fepolopus""",0.171708853238265,0.592708884510742,7.13330511343712,7.37820860586072,0.289701837994219,0.966807187827535
"19","100","2","3-1","2-6","""long""","""2-3""","""3-1""","""right""","""complex""","""pakuwugnum""",0.362726450020568,0.589474738918958,7.30024971724876,7.26311607655564,0.615338412441175,1.00511263214049
"20","100","3","2-4","1-1","""short""","""1-2""","""1-1""","""right""","""simple""","""bugorn""",0.198905525846702,0.409232560903149,7.04719236357878,7.29336768842468,0.486045209618049,0.966246686666215
"21","100","4","5-6","2-2","""long""","""2-5""","""2-2""","""left""","""simple""","""kibagronan""",0.400489205783323,0.598802900536869,7.22323860108545,7.46635694988485,0.668816409246275,0.967438156194347
"22","100","5","4-2","1-3","""short""","""1-4""","""1-3""","""left""","""simple""","""ralex""",0.240463209407226,0.601591200602591,7.12022004272548,7.38357413673939,0.399711979108676,0.96433243722664
"23","100","6","4-5","2-4","""short""","""2-4""","""2-4""","""right""","""simple""","""vatrus""",0.409232560903149,0.60023659050397,7.29336768842468,7.45011405562092,0.681785428241803,0.978960541271448
"24","100","7","4-3","3-7","""long""","""3-4""","""3-7""","""left""","""simple""","""gaburatum""",0.491521184697655,0.59194499618029,7.4576421040624,7.51389426853832,0.830349420755896,0.99251358051291
"25","101","0","5-6","4-5","""short""","""4-5""","""4-5""","""right""","""simple""","""lopus""",0.60023659050397,0.598802900536869,7.45011405562092,7.46635694988485,1.00239426022455,0.997824522136705
"26","101","1","4-3","1-8","""short""","""1-4""","""4-3""","""right""","""complex""","""torun""",0.213287175157144,0.59194499618029,7.15638039732531,7.51389426853832,0.360315868084782,0.952419629763761
"27","101","2","2-4","1-2","""short""","""1-2""","""2-4""","""right""","""complex""","""vatrus""",0.067770971422087,0.409232560903149,7.12566153316537,7.29336768842468,0.165605032191283,0.977005662894869
"28","101","3","1-2","1-1","""long""","""1-1""","""1-1""","""right""","""simple""","""kibagronan""",0.198905525846702,0.067770971422087,7.04719236357878,7.12566153316537,2.93496642696607,0.988987805662483
"29","101","4","5-8","3-7","""long""","""3-5""","""5-8""","""right""","""complex""","""tupabugorn""",0.491521184697655,0.627812012463534,7.4576421040624,7.5809576218774,0.782911404910725,0.983733517061336
"30","101","5","3-5","2-4","""short""","""2-3""","""2-4""","""right""","""simple""","""ratum""",0.409232560903149,0.545940690325717,7.29336768842468,7.38057144653556,0.749591609775403,0.988184687494379
"31","101","6","2-7","2-6","""long""","""2-2""","""2-6""","""left""","""simple""","""tiburalex""",0.362726450020568,0.498480635229298,7.30024971724876,7.25324083665048,0.727664074360113,1.00648108640771
"32","101","7","4-1","2-3","""long""","""2-4""","""4-1""","""right""","""complex""","""pakuwugnum""",0.393164349376114,0.559609180035651,7.2537688186413,7.47238209549203,0.70256951351489,0.97074383054065
"33","102","0","4-8","1-6","""long""","""1-4""","""4-8""","""right""","""complex""","""pakuwugnum""",0.096151633986928,0.59644761338879,7.07781498740677,7.48492849833601,0.161207173653744,0.945608897797788
"34","102","1","4-4","3-3","""long""","""3-4""","""4-4""","""right""","""complex""","""tiburalex""",0.437312451087946,0.599862745098039,7.35231805220081,7.44415965744716,0.729020854623125,0.987662595984965
"35","102","2","5-1","3-8","""short""","""3-5""","""3-8""","""right""","""simple""","""ratum""",0.592708884510742,0.643812070282658,7.37820860586072,7.55152734409631,0.920624063867769,0.977048518751496
"36","102","3","4-5","4-2","""short""","""4-4""","""4-5""","""right""","""complex""","""torun""",0.601591200602591,0.60023659050397,7.38357413673939,7.45011405562092,1.00225679360447,0.991068603999246
"37","102","4","5-3","2-1","""long""","""2-5""","""5-3""","""left""","""complex""","""fepolopus""",0.396717626087868,0.650860276977924,7.25000948926994,7.49631198228932,0.609528097074703,0.967143510888916
"38","102","5","5-7","5-5","""long""","""5-5""","""5-7""","""left""","""complex""","""kibagronan""",0.654049197860962,0.657452317290553,7.41937065134264,7.53194766740618,0.994823777572774,0.98505339906294
"39","102","6","1-2","1-7","""short""","""1-1""","""1-7""","""left""","""simple""","""bugorn""",0.226620320855615,0.067770971422087,7.21094692940482,7.12566153316537,3.34391430579019,1.01196876891254
"40","102","7","5-6","1-4","""short""","""1-5""","""5-6""","""left""","""complex""","""vatrus""",0.205391265597148,0.598802900536869,7.106017880143,7.46635694988485,0.343003124088077,0.951738301267875
"41","103","0","5-5","5-7","""long""","""5-5""","""5-5""","""right""","""complex""","""binivatrus""",0.657452317290553,0.654049197860962,7.53194766740618,7.41937065134264,1.00520315511543,1.01517339156565
"42","103","1","3-4","2-6","""long""","""2-3""","""2-6""","""right""","""simple""","""tupabugorn""",0.362726450020568,0.454706120023767,7.30024971724876,7.34365297144576,0.79771622603542,0.994089691551907
"43","103","2","3-8","1-4","""short""","""1-3""","""3-8""","""left""","""complex""","""wugnum""",0.205391265597148,0.592708884510742,7.106017880143,7.37820860586072,0.346529756790621,0.963108833016525
"44","103","3","4-7","1-3","""short""","""1-4""","""1-3""","""left""","""simple""","""gronan""",0.240463209407226,0.596326967150497,7.12022004272548,7.40403330391097,0.403240541940039,0.961667749247485
"45","103","4","5-2","1-8","""long""","""1-5""","""5-2""","""right""","""complex""","""gaburatum""",0.213287175157144,0.732388591800357,7.15638039732531,7.40911860957558,0.291221323686708,0.965888221586353
"46","103","5","2-3","1-1","""long""","""1-2""","""2-3""","""right""","""complex""","""tiburalex""",0.198905525846702,0.393164349376114,7.04719236357878,7.2537688186413,0.505909363761826,0.97152150003297
"47","103","6","4-1","4-2","""short""","""4-4""","""4-1""","""right""","""complex""","""lopus""",0.601591200602591,0.559609180035651,7.38357413673939,7.47238209549203,1.07502024996135,0.988115174302152
"48","103","7","4-6","2-5","""short""","""2-4""","""2-5""","""right""","""simple""","""torun""",0.365537163309983,0.614648336563144,7.28993416391881,7.4808403912451,0.594709432313628,0.974480644240223
"49","104","0","5-3","5-8","""short""","""5-5""","""5-3""","""left""","""complex""","""wugnum""",0.627812012463534,0.650860276977924,7.5809576218774,7.49631198228932,0.964587999406865,1.01129163777976
"50","104","1","4-4","2-7","""long""","""2-4""","""2-7""","""right""","""simple""","""tupabugorn""",0.498480635229298,0.599862745098039,7.25324083665048,7.44415965744716,0.830991154731285,0.974353207133906
"51","104","2","4-5","4-1","""short""","""4-4""","""4-5""","""right""","""complex""","""torun""",0.559609180035651,0.60023659050397,7.47238209549203,7.45011405562092,0.932314338860602,1.00298895288111
"52","104","3","5-6","2-3","""short""","""2-5""","""2-3""","""left""","""simple""","""ratum""",0.393164349376114,0.598802900536869,7.2537688186413,7.46635694988485,0.656583909369201,0.971527194230001
"53","104","4","3-7","2-5","""long""","""2-3""","""2-5""","""left""","""simple""","""tiburalex""",0.365537163309983,0.491521184697655,7.28993416391881,7.4576421040624,0.743685470108135,0.977511935032088
"54","104","5","4-8","3-6","""long""","""3-4""","""4-8""","""left""","""complex""","""kibagronan""",0.52237068011997,0.59644761338879,7.37717323948312,7.48492849833601,0.875803118989876,0.985603702309669
"55","104","6","4-1","1-2","""long""","""1-4""","""4-1""","""right""","""complex""","""fepolopus""",0.067770971422087,0.559609180035651,7.12566153316537,7.47238209549203,0.121104109510444,0.953599727918647
"56","104","7","3-2","3-4","""short""","""3-3""","""3-2""","""right""","""complex""","""vatrus""",0.454706120023767,0.500260812458955,7.34365297144576,7.34357497749828,0.908938115277767,1.00001062070554
"57","105","0","5-3","3-4","""long""","""3-5""","""3-4""","""left""","""simple""","""binivatrus""",0.454706120023767,0.650860276977924,7.34365297144576,7.49631198228932,0.698623246966399,0.979635451245328
"58","105","1","5-2","4-8","""short""","""4-5""","""5-2""","""right""","""complex""","""lopus""",0.59644761338879,0.732388591800357,7.48492849833601,7.40911860957558,0.814386816051576,1.01023197127152
"59","105","2","4-4","3-3","""short""","""3-4""","""3-3""","""right""","""simple""","""bugorn""",0.437312451087946,0.599862745098039,7.35231805220081,7.44415965744716,0.729020854623125,0.987662595984965
"60","105","3","2-7","1-1","""short""","""1-2""","""1-1""","""right""","""simple""","""wugnum""",0.198905525846702,0.498480635229298,7.04719236357878,7.25324083665048,0.399023576422797,0.971592219573002
"61","105","4","5-6","1-2","""long""","""1-5""","""5-6""","""right""","""complex""","""gaburatum""",0.067770971422087,0.598802900536869,7.12566153316537,7.46635694988485,0.113177426764843,0.95436925678664
"62","105","5","4-1","1-7","""long""","""1-4""","""4-1""","""left""","""complex""","""mipatorun""",0.226620320855615,0.559609180035651,7.21094692940482,7.47238209549203,0.404961764281954,0.965013142697169
"63","105","6","3-5","1-6","""short""","""1-3""","""1-6""","""left""","""simple""","""ralex""",0.096151633986928,0.545940690325717,7.07781498740677,7.38057144653556,0.176121025032156,0.958979265857401
"64","105","7","4-8","2-5","""long""","""2-4""","""4-8""","""left""","""complex""","""kibagronan""",0.365537163309983,0.59644761338879,7.28993416391881,7.48492849833601,0.612857114530376,0.973948403854419
"65","106","0","4-6","2-8","""short""","""2-4""","""4-6""","""left""","""complex""","""wugnum""",0.388259920156472,0.614648336563144,7.14928546016887,7.4808403912451,0.631678143517737,0.955679453946878
"66","106","1","3-7","2-4","""short""","""2-3""","""2-4""","""left""","""simple""","""bugorn""",0.409232560903149,0.491521184697655,7.29336768842468,7.4576421040624,0.832583769822407,0.977972338529328
"67","106","2","5-2","3-6","""long""","""3-5""","""5-2""","""left""","""complex""","""mipatorun""",0.52237068011997,0.732388591800357,7.37717323948312,7.40911860957558,0.713242513562205,0.995688371076801
"68","106","3","5-4","1-3","""long""","""1-5""","""1-3""","""left""","""simple""","""gaburatum""",0.240463209407226,0.614266488413547,7.12022004272548,7.52245949482209,0.391463988257385,0.946528199670137
"69","106","4","1-1","1-7","""short""","""1-1""","""1-7""","""right""","""simple""","""ralex""",0.226620320855615,0.198905525846702,7.21094692940482,7.04719236357878,1.139336475902,1.02323685197985
"70","106","5","4-3","1-2","""short""","""1-4""","""1-2""","""left""","""simple""","""gronan""",0.067770971422087,0.59194499618029,7.12566153316537,7.51389426853832,0.114488629618293,0.94833135502072
"71","106","6","3-8","3-5","""long""","""3-3""","""3-8""","""right""","""complex""","""binivatrus""",0.545940690325717,0.592708884510742,7.38057144653556,7.37820860586072,0.921094157001493,1.00032024584843
"72","106","7","4-5","4-1","""long""","""4-4""","""4-1""","""left""","""simple""","""fepolopus""",0.559609180035651,0.60023659050397,7.47238209549203,7.45011405562092,0.932314338860602,1.00298895288111
"73","107","0","1-4","1-1","""long""","""1-1""","""1-4""","""left""","""complex""","""gaburatum""",0.198905525846702,0.205391265597148,7.04719236357878,7.106017880143,0.968422514309021,0.991721732543257
"74","107","1","2-8","2-7","""long""","""2-2""","""2-7""","""right""","""simple""","""pakuwugnum""",0.498480635229298,0.388259920156472,7.25324083665048,7.14928546016887,1.28388383490216,1.01454066662477
"75","107","2","5-2","1-6","""long""","""1-5""","""5-2""","""right""","""complex""","""mipatorun""",0.096151633986928,0.732388591800357,7.07781498740677,7.40911860957558,0.131284996876546,0.955284340874145
"76","107","3","5-7","5-4","""long""","""5-5""","""5-7""","""left""","""complex""","""kibagronan""",0.614266488413547,0.657452317290553,7.52245949482209,7.53194766740618,0.934313367310073,0.998740276353068
"77","107","4","4-5","1-8","""short""","""1-4""","""1-8""","""left""","""simple""","""vatrus""",0.213287175157144,0.60023659050397,7.15638039732531,7.45011405562092,0.355338509067006,0.96057326691878
"78","107","5","5-6","4-3","""short""","""4-5""","""4-3""","""left""","""simple""","""bugorn""",0.59194499618029,0.598802900536869,7.51389426853832,7.46635694988485,0.988547309389399,1.00636686927407
"79","107","6","3-3","2-2","""short""","""2-3""","""2-2""","""left""","""simple""","""lopus""",0.400489205783323,0.437312451087946,7.22323860108545,7.35231805220081,0.915796485526506,0.982443706841991
"80","107","7","5-1","3-5","""short""","""3-5""","""5-1""","""right""","""complex""","""ralex""",0.545940690325717,0.643812070282658,7.38057144653556,7.55152734409631,0.847981446023571,0.977361414483336
"81","108","0","4-7","3-6","""long""","""3-4""","""4-7""","""right""","""complex""","""kibagronan""",0.52237068011997,0.596326967150497,7.37717323948312,7.40403330391097,0.875980307608892,0.996372238842624
"82","108","1","5-2","4-8","""long""","""4-5""","""5-2""","""left""","""complex""","""pakuwugnum""",0.59644761338879,0.732388591800357,7.48492849833601,7.40911860957558,0.814386816051576,1.01023197127152
"83","108","2","2-5","1-1","""short""","""1-2""","""1-1""","""left""","""simple""","""ratum""",0.198905525846702,0.365537163309983,7.04719236357878,7.28993416391881,0.544145837445333,0.966701784284765
"84","108","3","5-4","3-2","""long""","""3-5""","""5-4""","""right""","""complex""","""tiburalex""",0.500260812458955,0.614266488413547,7.34357497749828,7.52245949482209,0.814403555940302,0.976219942766466
"85","108","4","3-6","1-5","""short""","""1-3""","""1-5""","""right""","""simple""","""torun""",0.171708853238265,0.52237068011997,7.13330511343712,7.37717323948312,0.328710740807332,0.966942876610135
"86","108","5","4-8","4-3","""short""","""4-4""","""4-3""","""left""","""simple""","""vatrus""",0.59194499618029,0.59644761338879,7.51389426853832,7.48492849833601,0.992450942702381,1.00386987934604
"87","108","6","4-3","2-7","""long""","""2-4""","""2-7""","""left""","""simple""","""tupabugorn""",0.498480635229298,0.59194499618029,7.25324083665048,7.51389426853832,0.842106341714011,0.965310473827236
"88","108","7","2-1","2-4","""short""","""2-2""","""2-4""","""right""","""simple""","""lopus""",0.409232560903149,0.396717626087868,7.29336768842468,7.25000948926994,1.0315462031236,1.00598043343514
"89","109","0","5-8","2-6","""long""","""2-5""","""2-6""","""left""","""simple""","""tiburalex""",0.362726450020568,0.627812012463534,7.30024971724876,7.5809576218774,0.577762837950853,0.962971972852274
"90","109","1","1-1","1-2","""long""","""1-1""","""1-2""","""left""","""simple""","""gaburatum""",0.067770971422087,0.198905525846702,7.12566153316537,7.04719236357878,0.340719399994541,1.01113481306288
"91","109","2","2-3","2-7","""short""","""2-2""","""2-7""","""right""","""simple""","""lopus""",0.498480635229298,0.393164349376114,7.25324083665048,7.2537688186413,1.2678683507808,0.999927212735335
"92","109","3","3-4","1-8","""short""","""1-3""","""3-4""","""right""","""complex""","""vatrus""",0.213287175157144,0.454706120023767,7.15638039732531,7.34365297144576,0.469065987381027,0.974498716803664
"93","109","4","2-5","1-1","""short""","""1-2""","""2-5""","""left""","""complex""","""torun""",0.198905525846702,0.365537163309983,7.04719236357878,7.28993416391881,0.544145837445333,0.966701784284765
"94","109","5","4-2","4-3","""long""","""4-4""","""4-3""","""left""","""simple""","""tupabugorn""",0.59194499618029,0.601591200602591,7.51389426853832,7.38357413673939,0.983965516096913,1.01765000653958
"95","109","6","3-6","3-5","""long""","""3-3""","""3-5""","""left""","""simple""","""pakuwugnum""",0.545940690325717,0.52237068011997,7.38057144653556,7.37717323948312,1.04512123498266,1.00046063809838
"96","109","7","5-7","5-4","""short""","""5-5""","""5-7""","""right""","""complex""","""gronan""",0.614266488413547,0.657452317290553,7.52245949482209,7.53194766740618,0.934313367310073,0.998740276353068
"97","11","0","3-2","3-7","""long""","""3-3""","""3-2""","""right""","""complex""","""pakuwugnum""",0.491521184697655,0.500260812458955,7.4576421040624,7.34357497749828,0.982529857339131,1.01553291508749
"98","11","1","5-5","1-1","""long""","""1-5""","""5-5""","""left""","""complex""","""fepolopus""",0.198905525846702,0.654049197860962,7.04719236357878,7.41937065134264,0.304114012366674,0.949836946386213
"99","11","2","2-3","2-4","""long""","""2-2""","""2-4""","""left""","""simple""","""binivatrus""",0.409232560903149,0.393164349376114,7.29336768842468,7.2537688186413,1.04086894336308,1.00545907524398
"100","11","3","1-4","1-6","""short""","""1-1""","""1-4""","""right""","""complex""","""gronan""",0.096151633986928,0.205391265597148,7.07781498740677,7.106017880143,0.468138865142974,0.996031125559782
"101","11","4","5-6","2-5","""long""","""2-5""","""2-5""","""left""","""simple""","""tupabugorn""",0.365537163309983,0.598802900536869,7.28993416391881,7.46635694988485,0.610446547573923,0.976370968177625
"102","11","5","3-8","1-2","""short""","""1-3""","""3-8""","""right""","""complex""","""torun""",0.067770971422087,0.592708884510742,7.12566153316537,7.37820860586072,0.114341075683435,0.965771220876739
"103","11","6","5-7","4-3","""short""","""4-5""","""4-3""","""right""","""simple""","""ralex""",0.59194499618029,0.657452317290553,7.51389426853832,7.53194766740618,0.900361867488387,0.997603090241056
"104","11","7","4-1","2-8","""short""","""2-4""","""4-1""","""left""","""complex""","""ratum""",0.388259920156472,0.559609180035651,7.14928546016887,7.47238209549203,0.693805487843743,0.956761226715363
"105","110","0","4-8","1-7","""long""","""1-4""","""1-7""","""right""","""simple""","""kibagronan""",0.226620320855615,0.59644761338879,7.21094692940482,7.48492849833601,0.379950084078707,0.963395566304728
"106","110","1","3-2","3-8","""long""","""3-3""","""3-8""","""left""","""simple""","""binivatrus""",0.592708884510742,0.500260812458955,7.37820860586072,7.34357497749828,1.18479974795022,1.00471618094301
"107","110","2","5-4","4-1","""short""","""4-5""","""4-1""","""right""","""simple""","""bugorn""",0.559609180035651,0.614266488413547,7.47238209549203,7.52245949482209,0.911020201477931,0.993342948624113
"108","110","3","5-7","5-4","""short""","""5-5""","""5-7""","""left""","""complex""","""lopus""",0.614266488413547,0.657452317290553,7.52245949482209,7.53194766740618,0.934313367310073,0.998740276353068
"109","110","4","2-3","2-2","""short""","""2-2""","""2-2""","""right""","""simple""","""wugnum""",0.400489205783323,0.393164349376114,7.22323860108545,7.2537688186413,1.01863052033795,0.99579112343953
"110","110","5","2-1","1-5","""long""","""1-2""","""1-5""","""left""","""simple""","""mipatorun""",0.171708853238265,0.396717626087868,7.13330511343712,7.25000948926994,0.432823857441196,0.983902865781687
"111","110","6","3-6","2-3","""short""","""2-3""","""2-3""","""left""","""simple""","""ralex""",0.393164349376114,0.52237068011997,7.2537688186413,7.37717323948312,0.752653937785747,0.98327212648588
"112","110","7","5-5","2-6","""long""","""2-5""","""2-6""","""right""","""simple""","""gaburatum""",0.362726450020568,0.654049197860962,7.30024971724876,7.41937065134264,0.55458588009411,0.983944603970915
"113","111","0","5-5","2-1","""long""","""2-5""","""5-5""","""left""","""complex""","""gaburatum""",0.396717626087868,0.654049197860962,7.25000948926994,7.41937065134264,0.606556245899108,0.977173109414334
"114","111","1","5-6","3-3","""long""","""3-5""","""5-6""","""left""","""complex""","""tiburalex""",0.437312451087946,0.598802900536869,7.35231805220081,7.46635694988485,0.730311177009772,0.984726299793931
"115","111","2","2-3","2-7","""short""","""2-2""","""2-7""","""left""","""simple""","""torun""",0.498480635229298,0.393164349376114,7.25324083665048,7.2537688186413,1.2678683507808,0.999927212735335
"116","111","3","5-8","1-4","""short""","""1-5""","""1-4""","""right""","""simple""","""gronan""",0.205391265597148,0.627812012463534,7.106017880143,7.5809576218774,0.327154086764273,0.937350956775724
"117","111","4","3-1","3-2","""long""","""3-3""","""3-1""","""right""","""complex""","""tupabugorn""",0.500260812458955,0.589474738918958,7.34357497749828,7.26311607655564,0.848655216975688,1.01107773854838
"118","111","5","4-2","3-5","""short""","""3-4""","""3-5""","""left""","""simple""","""wugnum""",0.545940690325717,0.601591200602591,7.38057144653556,7.38357413673939,0.907494474285643,0.999593328359921
"119","111","6","3-4","1-6","""short""","""1-3""","""3-4""","""left""","""complex""","""vatrus""",0.096151633986928,0.454706120023767,7.07781498740677,7.34365297144576,0.211458851668639,0.963800306867353
"120","111","7","4-7","4-8","""long""","""4-4""","""4-8""","""right""","""simple""","""fepolopus""",0.59644761338879,0.596326967150497,7.48492849833601,7.40403330391097,1.00020231558346,1.01092582800543
"121","112","0","5-5","5-4","""long""","""5-5""","""5-4""","""right""","""simple""","""tiburalex""",0.614266488413547,0.654049197860962,7.52245949482209,7.41937065134264,0.939174744686604,1.01389455363856
"122","112","1","4-1","3-2","""short""","""3-4""","""4-1""","""left""","""complex""","""torun""",0.500260812458955,0.559609180035651,7.34357497749828,7.47238209549203,0.893946758391428,0.982762241498403
"123","112","2","5-2","3-6","""long""","""3-5""","""5-2""","""right""","""complex""","""fepolopus""",0.52237068011997,0.732388591800357,7.37717323948312,7.40911860957558,0.713242513562205,0.995688371076801
"124","112","3","1-4","1-8","""short""","""1-1""","""1-4""","""left""","""complex""","""bugorn""",0.213287175157144,0.205391265597148,7.15638039732531,7.106017880143,1.03844325870937,1.00708730515906
"125","112","4","4-8","2-1","""short""","""2-4""","""2-1""","""left""","""simple""","""gronan""",0.396717626087868,0.59644761338879,7.25000948926994,7.48492849833601,0.665134065729374,0.968614395031523
"126","112","5","5-6","1-7","""long""","""1-5""","""1-7""","""left""","""simple""","""binivatrus""",0.226620320855615,0.598802900536869,7.21094692940482,7.46635694988485,0.37845561645148,0.965791881878354
"127","112","6","2-7","1-3","""short""","""1-2""","""1-3""","""right""","""simple""","""wugnum""",0.240463209407226,0.498480635229298,7.12022004272548,7.25324083665048,0.482392278481619,0.981660502260886
"128","112","7","4-3","4-5","""long""","""4-4""","""4-5""","""right""","""simple""","""gaburatum""",0.60023659050397,0.59194499618029,7.45011405562092,7.51389426853832,1.01400737294374,0.991511696779597
"129","113","0","5-4","3-3","""short""","""3-5""","""3-3""","""right""","""simple""","""vatrus""",0.437312451087946,0.614266488413547,7.35231805220081,7.52245949482209,0.711926271962815,0.977382205548811
"130","113","1","1-2","1-7","""long""","""1-1""","""1-7""","""right""","""simple""","""fepolopus""",0.226620320855615,0.067770971422087,7.21094692940482,7.12566153316537,3.34391430579019,1.01196876891254
"131","113","2","4-3","4-2","""short""","""4-4""","""4-2""","""left""","""simple""","""torun""",0.601591200602591,0.59194499618029,7.38357413673939,7.51389426853832,1.01629577829789,0.98265611317628
"132","113","3","4-5","3-6","""long""","""3-4""","""4-5""","""left""","""complex""","""kibagronan""",0.52237068011997,0.60023659050397,7.37717323948312,7.45011405562092,0.870274635675539,0.990209436312889
"133","113","4","3-7","1-8","""long""","""1-3""","""3-7""","""left""","""complex""","""tiburalex""",0.213287175157144,0.491521184697655,7.15638039732531,7.4576421040624,0.433932822831108,0.959603625042159
"134","113","5","4-1","1-4","""short""","""1-4""","""4-1""","""left""","""complex""","""ratum""",0.205391265597148,0.559609180035651,7.106017880143,7.47238209549203,0.367026262121117,0.950970893797033
"135","113","6","2-6","2-1","""long""","""2-2""","""2-1""","""right""","""simple""","""tupabugorn""",0.396717626087868,0.362726450020568,7.25000948926994,7.30024971724876,1.09371022175354,0.993118012407149
"136","113","7","3-8","2-5","""short""","""2-3""","""2-5""","""right""","""simple""","""wugnum""",0.365537163309983,0.592708884510742,7.28993416391881,7.37820860586072,0.616722935765877,0.988035789355184
"137","114","0","3-2","3-1","""short""","""3-3""","""3-1""","""right""","""simple""","""bugorn""",0.589474738918958,0.500260812458955,7.26311607655564,7.34357497749828,1.17833482902945,0.989043633218265
"138","114","1","2-4","1-7","""long""","""1-2""","""2-4""","""left""","""complex""","""fepolopus""",0.226620320855615,0.409232560903149,7.21094692940482,7.29336768842468,0.553769036255275,0.988699217900303
"139","114","2","4-8","4-6","""long""","""4-4""","""4-8""","""left""","""complex""","""mipatorun""",0.614648336563144,0.59644761338879,7.4808403912451,7.48492849833601,1.03051520831971,0.999453821490503
"140","114","3","2-7","2-5","""long""","""2-2""","""2-7""","""right""","""complex""","""binivatrus""",0.365537163309983,0.498480635229298,7.28993416391881,7.25324083665048,0.733302634999729,1.00505888720569
"141","114","4","4-1","1-4","""short""","""1-4""","""4-1""","""left""","""complex""","""wugnum""",0.205391265597148,0.559609180035651,7.106017880143,7.47238209549203,0.367026262121117,0.950970893797033
"142","114","5","5-3","4-8","""short""","""4-5""","""5-3""","""right""","""complex""","""gronan""",0.59644761338879,0.650860276977924,7.48492849833601,7.49631198228932,0.916398856231044,0.998481455416983
"143","114","6","4-5","3-3","""short""","""3-4""","""4-5""","""left""","""complex""","""ratum""",0.437312451087946,0.60023659050397,7.35231805220081,7.45011405562092,0.728566798503187,0.98687322063931
"144","114","7","3-6","1-2","""long""","""1-3""","""3-6""","""left""","""complex""","""tiburalex""",0.067770971422087,0.52237068011997,7.12566153316537,7.37717323948312,0.129737318730298,0.965906764264171
