"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word","criticalSimple_c.norms","criticalComplicated_c.norms","criticalSimple_rt.norms","criticalComplicated_rt.norms","c.ratio","rt.ratio"
"1","1","0","5-6","2-1","""short""","""2-5""","""5-6""","""right""","""complex""","""wugnum""",0.396717626087868,0.598802900536869,7.25000948926994,7.46635694988485,0.662517876470175,0.971023691732519
"2","1","1","2-1","2-2","""short""","""2-2""","""2-1""","""left""","""complex""","""vatrus""",0.400489205783323,0.396717626087868,7.22323860108545,7.25000948926994,1.00950696275496,0.996307468531716
"3","1","2","4-4","2-7","""short""","""2-4""","""2-7""","""right""","""simple""","""bugorn""",0.498480635229298,0.599862745098039,7.25324083665048,7.44415965744716,0.830991154731285,0.974353207133906
"4","1","3","5-8","3-5","""long""","""3-5""","""5-8""","""right""","""complex""","""mipatorun""",0.545940690325717,0.627812012463534,7.38057144653556,7.5809576218774,0.869592616081757,0.973567168511329
"5","1","4","4-3","3-6","""long""","""3-4""","""4-3""","""left""","""complex""","""gaburatum""",0.52237068011997,0.59194499618029,7.37717323948312,7.51389426853832,0.882464897060926,0.981804238365761
"6","1","5","5-5","4-8","""long""","""4-5""","""4-8""","""left""","""simple""","""tiburalex""",0.59644761338879,0.654049197860962,7.48492849833601,7.41937065134264,0.911930807864981,1.00883603880627
"7","1","6","3-7","1-3","""short""","""1-3""","""1-3""","""left""","""simple""","""gronan""",0.240463209407226,0.491521184697655,7.12022004272548,7.4576421040624,0.489222472791564,0.954754859963967
"8","1","7","5-2","1-4","""long""","""1-5""","""5-2""","""right""","""complex""","""fepolopus""",0.205391265597148,0.732388591800357,7.106017880143,7.40911860957558,0.280440285248375,0.959090852042664
"9","10","0","5-3","1-5","""short""","""1-5""","""5-3""","""left""","""complex""","""vatrus""",0.171708853238265,0.650860276977924,7.13330511343712,7.49631198228932,0.263818302194665,0.951575271985767
"10","10","1","5-7","2-1","""short""","""2-5""","""5-7""","""left""","""complex""","""bugorn""",0.396717626087868,0.657452317290553,7.25000948926994,7.53194766740618,0.603416575855711,0.962567692901492
"11","10","2","2-6","2-3","""long""","""2-2""","""2-3""","""right""","""simple""","""fepolopus""",0.393164349376114,0.362726450020568,7.2537688186413,7.30024971724876,1.08391419857532,0.993632971417726
"12","10","3","5-4","5-6","""short""","""5-5""","""5-6""","""right""","""simple""","""ratum""",0.598802900536869,0.614266488413547,7.46635694988485,7.52245949482209,0.974825929513727,0.992541994413415
"13","10","4","3-8","1-2","""long""","""1-3""","""3-8""","""right""","""complex""","""mipatorun""",0.067770971422087,0.592708884510742,7.12566153316537,7.37820860586072,0.114341075683435,0.965771220876739
