"","word","nchars","complexity","cih","cil"
"1","a",1,1.375,0.5,0.375
"2","am",2,1.15384615384615,0.230769230769231,0.153846153846154
"3","an",2,1.47058823529412,0.470588235294118,0.352941176470588
"4","as",2,2.35714285714286,1.07142857142857,0.928571428571429
"5","at",2,1.95238095238095,0.571428571428571,0.476190476190476
"6","be",2,2.36363636363636,1.18181818181818,1
"7","by",2,2,0.928571428571428,0.714285714285714
"8","if",2,3.46153846153846,1.07692307692308,1.15384615384615
"9","of",2,1.7,0.8,0.6
"10","oh",2,1.83333333333333,0.666666666666667,0.583333333333333
"11","so",2,2.15789473684211,0.947368421052631,0.789473684210526
"12","to",2,2.23529411764706,0.705882352941177,0.588235294117647
"13","up",2,1.25,0.416666666666667,0.25
"14","age",3,2.17647058823529,0.647058823529412,0.647058823529412
"15","aid",3,1.625,0.75,0.625
"16","all",3,2.66666666666667,1.44444444444444,1.22222222222222
"17","and",3,2.05,0.651249999999999,0.55
"18","ape",3,2.47058823529412,0.823529411764706,0.764705882352941
"19","apt",3,2.875,1,0.8140625
"20","are",3,3.14285714285714,0.71547619047619,0.714285714285714
"21","bed",3,1.95,0.55,0.5
"22","bit",3,2.44444444444444,0.555555555555555,0.555555555555556
"23","but",3,1.55555555555556,0.555555555555556,0.555555555555556
"24","can",3,1.78571428571429,0.571428571428571,0.5
"25","dip",3,2.16666666666667,0.75,0.583333333333333
"26","eat",3,1.5,0.75,0.5
"27","eel",3,2.33333333333333,0.6,0.6
"28","eye",3,2.8,1.2,1.1
"29","for",3,2.61538461538462,0.923076923076923,0.771153846153846
"30","fur",3,1.63636363636364,0.363636363636364,0.363636363636364
"31","gin",3,2.70588235294118,0.764705882352941,0.705882352941177
"32","hay",3,1.80952380952381,0.620238095238094,0.523809523809524
"33","hen",3,2.64285714285714,0.928571428571429,0.857142857142857
"34","her",3,1.26666666666667,0.2,0.2
"35","hog",3,2.08333333333333,0.916666666666667,0.666666666666667
"36","hot",3,1.7,0.9,0.6
"37","how",3,3.42857142857143,1.71428571428571,1.57142857142857
"38","its",3,2.875,0.9375,0.875
"39","led",3,1.91666666666667,0.5,0.5
"40","leg",3,2.42857142857143,1.07321428571428,1.07142857142857
"41","lip",3,1.92307692307692,0.769230769230769,0.538461538461539
"42","nor",3,2.73333333333333,0.666666666666667,0.666666666666667
"43","not",3,2.15789473684211,0.842105263157895,0.68421052631579
"44","now",3,1.58333333333333,0.583333333333333,0.416666666666667
"45","off",3,1.68,0.52,0.4
"46","one",3,1.33333333333333,0.333333333333333,0.222222222222222
"47","peg",3,2.10526315789474,0.631578947368421,0.526315789473684
"48","rum",3,1.83333333333333,0.388888888888889,0.388888888888889
"49","sin",3,3.875,1.3125,1.1265625
"50","too",3,2.66666666666667,0.866666666666667,0.933333333333333
"51","two",3,1.42105263157895,0.526315789473684,0.368421052631579
"52","was",3,2.1,0.7,0.6
"53","who",3,3.27272727272727,1.27272727272727,1.18409090909091
"54","ache",4,2.88235294117647,1,0.882352941176471
"55","ally",4,3.23076923076923,0.923076923076923,0.923076923076923
"56","also",4,2.25,1.00208333333333,0.75
"57","arch",4,3.05882352941176,0.705882352941177,0.647058823529412
"58","back",4,2.5,1.00208333333333,0.916666666666667
"59","bang",4,3,0.923076923076923,0.923076923076923
"60","barn",4,2.18181818181818,1.18181818181818,0.818181818181818
"61","beam",4,3.2,0.85,0.75
"62","beef",4,2.08333333333333,0.5,0.416666666666667
"63","been",4,3.125,0.875,0.8125
"64","beer",4,1.46153846153846,0.384615384615385,0.307692307692308
"65","beet",4,2.28571428571429,0.714285714285714,0.642857142857143
"66","bell",4,1.81818181818182,0.636363636363636,0.545454545454545
"67","belt",4,2.35294117647059,0.764705882352941,0.647058823529412
"68","bite",4,1.35714285714286,0.430357142857141,0.357142857142857
"69","boar",4,3.21052631578947,0.894736842105263,0.789473684210527
"70","boat",4,3.85714285714286,1.71428571428571,1.42857142857143
"71","bolt",4,3.30769230769231,0.846153846153847,0.771153846153846
"72","book",4,2.2,0.6,0.533333333333333
"73","both",4,2.5,0.7,0.8
"74","bowl",4,1.85714285714286,0.642857142857143,0.5
"75","bump",4,2.33333333333333,0.583333333333333,0.5
"76","came",4,1.92307692307692,0.692307692307692,0.615384615384615
"77","care",4,2.22222222222222,0.666666666666667,0.666666666666667
