"","obj","meanRating","cih","cil"
"2","1-2",0.067770971422087,0.0739154354773016,0.0578693238809872
"6","1-6",0.096151633986928,0.0708677361853832,0.062190386215092
"5","1-5",0.171708853238265,0.075026678550208,0.0689203505644682
"1","1-1",0.198905525846702,0.103409090909091,0.0886847593582888
"4","1-4",0.205391265597148,0.0755632798573977,0.0683691399286987
"8","1-8",0.213287175157144,0.0667033211370673,0.0669415892672859
"7","1-7",0.226620320855615,0.0788044690603513,0.0802166921313979
"3","1-3",0.240463209407226,0.0720301061007956,0.0703841988538845
"14","2-6",0.362726450020568,0.117812176059235,0.118592595639654
"13","2-5",0.365537163309983,0.11841181131242,0.105999526437052
"16","2-8",0.388259920156472,0.117384506833036,0.114389611121355
"11","2-3",0.393164349376114,0.0657730035650623,0.0665117647058825
"9","2-1",0.396717626087868,0.0815578169235608,0.0785923351158647
"10","2-2",0.400489205783323,0.0753826401267577,0.0776495345612993
"12","2-4",0.409232560903149,0.0672415686274511,0.0779768983957219
"19","3-3",0.437312451087946,0.0934590920747738,0.112119786096257
"20","3-4",0.454706120023767,0.0972052762923351,0.0996929649435531
"23","3-7",0.491521184697655,0.110566790072672,0.128349334978747
"15","2-7",0.498480635229298,0.100705072111489,0.115040269000162
"18","3-2",0.500260812458955,0.0632303217937893,0.0656949057134815
"22","3-6",0.52237068011997,0.0935950120963102,0.116001377891885
"21","3-5",0.545940690325717,0.120825230918814,0.126397666504619
"25","4-1",0.559609180035651,0.103996691176471,0.103713458110517
"17","3-1",0.589474738918958,0.0900676298008954,0.08850153615823
"27","4-3",0.59194499618029,0.118283677107207,0.165266106442577
"24","3-8",0.592708884510742,0.0536838634018201,0.0532496669481188
"31","4-7",0.596326967150497,0.0758975553857906,0.0876718869365929
"32","4-8",0.59644761338879,0.0834993860170331,0.0844256090314915
"38","5-6",0.598802900536869,0.0822355775975726,0.0864377349732093
"28","4-4",0.599862745098039,0.0612492513368984,0.0672449465240641
"29","4-5",0.60023659050397,0.11088583697942,0.0950512072597633
"26","4-2",0.601591200602591,0.0966545468730051,0.106265159789501
"36","5-4",0.614266488413547,0.0779651403743314,0.0830548128342247
"30","4-6",0.614648336563144,0.0818886769079467,0.0900484849610611
"40","5-8",0.627812012463534,0.103561594490702,0.140484482143955
"33","5-1",0.643812070282658,0.122469442322383,0.146896485867074
"35","5-3",0.650860276977924,0.0548272864390512,0.0542909090909092
"37","5-5",0.654049197860962,0.0752727629233511,0.0843547593582887
"39","5-7",0.657452317290553,0.0495639483065954,0.0543103721033866
"34","5-2",0.732388591800357,0.0482902852049911,0.0531673016934048
