"","language","lower.ci","corr","upper.ci"
"1","ENGLISH_LEN",0.609064077064724,0.660054448271607,0.705927695599371
"2","AFRIKAANS_LEN",0.471369100325746,0.536195308569035,0.594806425583457
"3","ALBANIAN_LEN",0.166811782645047,0.250572704630188,0.334984522709742
"4","ARABIC_LEN",0.0807373193189109,0.164882675238447,0.245947903126387
"5","ARMENIAN_LEN",0.337284441576266,0.415663260664106,0.49109196558711
"6","AZERBAIJANI_LEN",0.194821622498052,0.282797384479193,0.364770005865382
"7","BASQUE_LEN",0.342402668799139,0.416244056458229,0.487784821267601
"8","BELARUSIAN_LEN",0.326838038024311,0.408573137815353,0.486338946110308
"9","BENGALI_LEN",0.0802450477212481,0.170295782365683,0.282065429975528
"10","BOSNIAN_CHECKED_LEN",0.35471423814446,0.427151381276686,0.498763555917767
"11","BULGARIAN_LEN",0.323216960545831,0.408321314612385,0.489980708492419
"12","CATALAN_LEN",0.320363223973616,0.401667928693703,0.47707395243205
"13","CEBUANA_LEN",0.147121374674162,0.240255267218208,0.3319214484708
"14","CHINESE_LEN",0.281086217680217,0.353643188568041,0.423548204649183
"15","CROATIAN_LEN",0.356250084586464,0.4277318656468,0.498658948962203
"16","CZECH_LEN",0.276489410650047,0.359396614960778,0.44428851846721
"17","DANISH_LEN",0.432862445776415,0.510838790670694,0.58054146931048
"18","DUTCH_LEN",0.398404812472068,0.47402062748694,0.546243995604472
"19","ESPERNTO_LEN",0.37467794793237,0.445257971430508,0.508748031277554
"20","ESTONIAN_LEN",0.321188762007597,0.401016262049635,0.475457643234798
"21","FILIPINO_LEN",0.259719799363836,0.334969299379551,0.406635107431653
"22","FINNISH_LEN",0.245454567366793,0.326250170457543,0.404117728495819
"23","FRENCH_Checked_LEN",0.297343417592844,0.381641634014372,0.462767514260237
"24","GALICIAN_LEN",0.35821339919458,0.436206519992018,0.507362203090205
"25","GEORGIAN_LEN",0.306258001668603,0.391881002384523,0.475493814376581
"26","GERMAN_LEN",0.369570647122244,0.44820392508925,0.521399006653566
"27","GREEK_LEN",0.240411528536378,0.32327187374253,0.402958965175424
"28","GUJARATI_LEN",0.21765108004174,0.29883725633659,0.380540571033671
"29","HAITIAN.CREOLE_LEN",0.250356083287327,0.330315959744588,0.406655489900457
"30","HAUSA_LEN",0.237158911598755,0.328842723191153,0.41841282160392
"31","HEBREW_checked_LEN",0.201021072708478,0.296163843145821,0.378252004171342
"32","HINDI_LEN",0.281176714299484,0.354888164206846,0.429237580588327
"33","HMONG_LEN",0.242561423005947,0.337944774074681,0.432023579310368
"34","HUNGARIAN_LEN",0.305312328065478,0.390903825709544,0.470675976889191
"35","ICELANDIC_LEN",0.340609834729406,0.421573054325082,0.502662143483282
"36","IGBO_LEN",0.0280228106151855,0.122218318060537,0.216483206022239
"37","INDONESIAN_LEN",0.217042415123435,0.303425424590345,0.385765019801181
"38","IRISH_LEN",0.251269747946786,0.335563187614046,0.422490564747485
"39","ITALIAN_checked_LEN",0.347523776084834,0.429467929685731,0.505284087151487
"40","JAPANESE_LEN",0.0182271106147833,0.107663594847492,0.19597642724814
"41","JAVANESE_LEN",0.150322405801655,0.238677534068052,0.322944669299286
