"countryCode" "country" "GeoArea" "continent" "walsCode" "silCode" "lang" "lat" "lon" "langFamily" "langGenus" "nativeCountry" "nativeCountryCode" "nativeCountryArea" "ethnologue_lang_name"
"1" "AD" "Andorra" "Europe" "Europe" "ctl" "CLN" "Catalan" 41.75 2 "Indo-European" "Romance" "Spain" "ES" "Europe" "Catalan-Valencian-Balear"
"2" "AD" "Andorra" "Europe" "Europe" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"3" "AD" "Andorra" "Europe" "Europe" "fre" "FRN" "French" 48 2 "Indo-European" "Romance" "Switzerland" "CH" "Europe" "French"
"4" "AD" "Andorra" "Europe" "Europe" "por" "POR" "Portuguese" 39 -8 "Indo-European" "Romance" "Portugal" "PT" "Europe" "Portuguese"
"5" "AD" "Andorra" "Europe" "Europe" "spa" "SPN" "Spanish" 40 -4 "Indo-European" "Romance" "Spain" "ES" "Europe" "Spanish"
"6" "AE" "United Arab Emirates" "Asia" "Asia" "aeg" "ARZ" "Arabic (Egyptian)" 30 31 "Afro-Asiatic" "Semitic" "Egypt" "EG" "Africa" "Egyptian Spoken Arabic"
"7" "AE" "United Arab Emirates" "Asia" "Asia" "ams" "ABV" "Arabic (Modern Standard)" 25 42 "Afro-Asiatic" "Semitic" "Yemen" "YE" "Asia" "Standard Arabic"
"8" "AE" "United Arab Emirates" "Asia" "Asia" "arg" "AFB" "Arabic (Gulf)" 26 49 "Afro-Asiatic" "Semitic" "Saudi Arabia" "SA" "Asia" "Gulf Spoken Arabic"
"9" "AE" "United Arab Emirates" "Asia" "Asia" "ben" "BNG" "Bengali" 24 90 "Indo-European" "Indic" "India" "IN" "Asia" "Bengali"
"10" "AE" "United Arab Emirates" "Asia" "Asia" "dsh" "DNS" "Danish" 56 10 "Indo-European" "Germanic" "Denmark" "DK" "Europe" "Danish"
"11" "AE" "United Arab Emirates" "Asia" "Asia" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"12" "AE" "United Arab Emirates" "Asia" "Asia" "fre" "FRN" "French" 48 2 "Indo-European" "Romance" "Switzerland" "CH" "Europe" "French"
"13" "AE" "United Arab Emirates" "Asia" "Asia" "ger" "GER" "German" 52 10 "Indo-European" "Germanic" "Switzerland" "CH" "Europe" "Standard German"
"14" "AE" "United Arab Emirates" "Asia" "Asia" "grk" "GRK" "Greek (Modern)" 39 22 "Indo-European" "Greek" "Greece" "GR" "Europe" "Greek"
"15" "AE" "United Arab Emirates" "Asia" "Asia" "hin" "HND" "Hindi" 25 77 "Indo-European" "Indic" "India" "IN" "Asia" "Hindi"
"16" "AE" "United Arab Emirates" "Asia" "Asia" "ita" "ITN" "Italian" 43 12 "Indo-European" "Romance" "Switzerland" "CH" "Europe" "Italian"
"17" "AE" "United Arab Emirates" "Asia" "Asia" "jpn" "JPN" "Japanese" 37 140 "Japanese" "Japanese" "Japan" "JP" "Asia" "Japanese"
"18" "AE" "United Arab Emirates" "Asia" "Asia" "mly" "MLI" "Malay" 3 102 "Austronesian" "Sundic" "Malaysia" "MY" "Asia" "Malay"
"19" "AE" "United Arab Emirates" "Asia" "Asia" "mym" "MJS" "Malayalam" 10 76.5 "Dravidian" "Southern Dravidian" "India" "IN" "Asia" "Malayalam"
"20" "AE" "United Arab Emirates" "Asia" "Asia" "pan" "PNJ" "Panjabi" 31 74 "Indo-European" "Indic" "Pakistan" "PK" "Asia" "Eastern Panjabi"
"21" "AE" "United Arab Emirates" "Asia" "Asia" "pol" "PQL" "Polish" 52 20 "Indo-European" "Slavic" "Poland" "PL" "Europe" "Polish"
"22" "AE" "United Arab Emirates" "Asia" "Asia" "prs" "PES" "Persian" 32 54 "Indo-European" "Iranian" "Iran" "IR" "Asia" "Western Farsi"
"23" "AE" "United Arab Emirates" "Asia" "Asia" "snh" "SNH" "Sinhala" 7 80.5 "Indo-European" "Indic" "Sri Lanka" "LK" "Asia" "Sinhala"
"24" "AE" "United Arab Emirates" "Asia" "Asia" "som" "SOM" "Somali" 3 45 "Afro-Asiatic" "Eastern Cushitic" "Somalia" "SO" "Africa" "Somali"
"25" "AE" "United Arab Emirates" "Asia" "Asia" "soq" "SQT" "Soqotri" 12.5 54 "Afro-Asiatic" "Semitic" "Yemen" "YE" "Asia" "Soqotri"
"26" "AE" "United Arab Emirates" "Asia" "Asia" "swa" "SWA" "Swahili" -6.5 39 "Niger-Congo" "Bantoid" "Tanzania" "TZ" "Africa" "Swahili"
"27" "AE" "United Arab Emirates" "Asia" "Asia" "swe" "SWD" "Swedish" 60 15 "Indo-European" "Germanic" "Sweden" "SE" "Europe" "Swedish"
"28" "AE" "United Arab Emirates" "Asia" "Asia" "tag" "TGL" "Tagalog" 15 121 "Austronesian" "Meso-Philippine" "Philippines" "PH" "Asia" "Tagalog"
"29" "AE" "United Arab Emirates" "Asia" "Asia" "tel" "TCW" "Telugu" 16 79 "Dravidian" "South-Central Dravidian" "India" "IN" "Asia" "Telugu"
"30" "AE" "United Arab Emirates" "Asia" "Asia" "tha" "THJ" "Thai" 16 101 "Tai-Kadai" "Kam-Tai" "Thailand" "TH" "Asia" "Thai"
"31" "AE" "United Arab Emirates" "Asia" "Asia" "tml" "TCV" "Tamil" 11 78.5 "Dravidian" "Southern Dravidian" "Sri Lanka" "LK" "Asia" "Tamil"
"32" "AE" "United Arab Emirates" "Asia" "Asia" "tur" "TRK" "Turkish" 39 35 "Altaic" "Turkic" "Turkey" "TR" "Eurasia" "Turkish"
"33" "AE" "United Arab Emirates" "Asia" "Asia" "urd" "URD" "Urdu" 25 67 "Indo-European" "Indic" "Pakistan" "PK" "Asia" "Urdu"
"34" "AF" "Afghanistan" "Asia" "Asia" "aze" "AZE/ AZB" "Azerbaijani" 40.5 48.5 "Altaic" "Turkic" "Iraq" "IQ" "Asia" "South Azerbaijani"
"35" "AF" "Afghanistan" "Asia" "Asia" "brh" "BRH" "Brahui" 28.5 67 "Dravidian" "Northern Dravidian" "Pakistan" "PK" "Asia" "Brahui"
"36" "AF" "Afghanistan" "Asia" "Asia" "dom" "RMT" "Domari" 32 35 "Indo-European" "Indic" "Jordan" "JO" "Asia" "Domari"
"37" "AF" "Afghanistan" "Asia" "Asia" "dri" "PRS" "Dari" 35 66 "Indo-European" "Iranian" "Afghanistan" "AF" "Asia" "Eastern Farsi"
