ENGLISH,clx.numMorph,clx.StrucLab
a,1,(a)[D]
about,1,((about)[P])[B]
ache,1,((ache)[V])[N]
affirmation,3,"(((af)[V|.A],(firm)[A])[V],(ation)[N|V.])[N]"
after,1,(((after)[P])[B])[A]
age,1,(age)[N]
aid,1,((aid)[V])[N]
all,1,((all)[O])[N]
ally,1,((ally)[V])[N]
alphabet,1,
also,1,(also)[B]
although,2,"(((all)[O])[B],(though)[C])[C]"
am,NA,NA
an,1,(an)[D]
and,1,(and)[C]
ape,1,(ape)[N]
appearance,2,"((appear)[V],(ance)[N|V.])[N]"
approach,1,((approach)[V])[N]
apt,1,(apt)[A]
arch,1,(arch)[N]
are,1,(are)[N]
arrangement,2,"((arrange)[V],(ment)[N|V.])[N]"
array,1,((array)[V])[N]
as,1,(as)[C]
aspect,1,(aspect)[N]
at,1,(at)[P]
attendant,2,"(((attend)[V],(ant)[A|V.])[A])[N]"
audit,1,(audit)[N]
authentic,1,
back,1,(back)[N]
bandage,2,"((band)[N],(age)[N|N.])[N]"
bang,1,((bang)[V])[N]
banner,1,
barn,1,(barn)[N]
battle,1,((battle)[V])[N]
be,1,(be)[V]
beam,1,(beam)[N]
beauty,1,
because,1,
bed,1,(bed)[N]
beef,1,(beef)[N]
beehive,2,"((bee)[N],(hive)[N])[N]"
been,NA,NA
beer,1,(beer)[N]
beet,1,(beet)[N]
beginning,1,((beginning)[V])[N]
being,1,((being)[V])[N]
belief,1,((believe)[V])[N]
bell,1,((bell)[N])[V]
belly,1,
belt,1,(belt)[N]
biology,2,"((bio)[N|.x],(ology)[N|x.])[N]"
birch,1,(birch)[N]
bit,1,(bit)[N]
bite,1,((bite)[V])[N]
bland,1,(bland)[A]
bloom,1,(bloom)[N]
boar,1,(boar)[N]
board,1,(board)[N]
boat,1,(boat)[N]
bolt,1,(bolt)[N]
book,1,(book)[N]
both,1,(both)[O]
bother,1,((bother)[V])[N]
bowl,1,(bowl)[N]
brake,1,(brake)[N]
brawl,1,((brawl)[V])[N]
bright,1,(bright)[A]
broom,1,(broom)[N]
bucket,1,(bucket)[N]
bump,1,((bump)[V])[N]
but,1,((but)[P])[B]
by,1,((by)[P])[B]
came,NA,NA
can,1,(can)[N]
canary,1,
capacity,2,"((capacious)[A],(ity)[N|A.])[N]"
care,1,((care)[V])[N]
carrot,1,(carrot)[N]
cast,1,((cast)[V])[N]
cattle,1,(cattle)[N]
cauliflower,1,
causality,3,"((((cause)[V])[N],(al)[A|N.])[A],(ity)[N|A.])[N]"
cavern,1,
cellar,1,(cellar)[N]
cement,1,
centennial,1,((centennial)[A])[N]
chance,1,(chance)[N]
cheese,1,(cheese)[N]
chief,1,(chief)[N]
child,1,(child)[N]
chlorine,1,
chuckle,1,((chuckle)[V])[N]
cider,1,
citizen,1,(citizen)[N]
claim,1,((claim)[V])[N]
clang,1,((clang)[V])[N]
clover,1,
coat,1,(coat)[N]
code,1,(code)[N]
coil,1,((coil)[V])[N]
collection,2,"((collect)[V],(ion)[N|V.])[N]"
come,1,(come)[V]
comfort,1,((comfort)[V])[N]
comforter,2,"((comfort)[V],(er)[N|V.])[N]"
commode,1,(commode)[N]
composure,2,"((compose)[V],(ure)[N|V.])[N]"
concept,2,"((conceive)[V],(t)[N|V.])[N]"
concert,1,(concert)[N]
convention,2,"((convene)[V],(ion)[N|V.])[N]"
cookie,2,"((cook)[V],(ie)[N|V.])[N]"
cool,1,((cool)[A])[N]
cotton,1,(cotton)[N]
course,1,(course)[N]
court,1,(court)[N]
cowl,1,(cowl)[N]
crab,1,((crab)[N])[V]
creature,2,"((create)[V],(ure)[N|V.])[N]"
criterion,1,
crook,1,(crook)[N]
cucumber,1,
curse,1,((curse)[V])[N]
dagger,1,
dear,1,((dear)[A])[N]
deface,2,"((de)[V|.N],(face)[N])[V]"
derelict,2,"((de)[A|.A],(relict)[A])[A]"
destruction,2,"((destroy)[V],(ion)[N|V.])[N]"
devil,1,(devil)[N]
dictation,2,"((dictate)[V],(ion)[N|V.])[N]"
diet,1,(diet)[N]
dinner,2,"((dine)[V],(er)[N|V.])[N]"
dip,1,((dip)[V])[N]
disobedient,3,"(((dis)[V|.V],(obey)[V])[V],(ent)[A|V.])[A]"
distinct,1,
distortion,2,"((distort)[V],(ion)[N|V.])[N]"
diversity,2,"((diverse)[A],(ity)[N|A.])[N]"
dozen,1,((dozen)[Q])[N]
drab,1,(drab)[A]
drain,1,((drain)[V])[N]
dreamer,2,"((dream)[V],(er)[N|V.])[N]"
drill,1,((drill)[V])[N]
duel,1,(duel)[N]
dumb,1,(dumb)[A]
earn,1,(earn)[V]
earth,1,(earth)[N]
eat,1,(eat)[V]
educator,2,"((educate)[V],(or)[N|V.])[N]"
eel,1,(eel)[N]
eerie,1,
effort,1,(effort)[N]
elopement,2,"((elope)[V],(ment)[N|V.])[N]"
embrace,2,"(((em)[V|.N],(brace)[N])[V])[N]"
encounter,2,"(((en)[V|.B],(counter)[B])[V])[N]"
enlightenment,4,"(((en)[V|.Nx],(light)[N],(en)[V|xN.])[V],(ment)[N|V.])[N]"
enthusiasm,1,
entree,1,
eternal,1,
evening,1,
express,1,((express)[A])[N]
expulsion,2,"((expel)[V],(ion)[N|V.])[N]"
extreme,1,((extreme)[A])[N]
eye,1,(eye)[N]
faint,1,((faint)[A])[N]
fang,1,(fang)[N]
fantasy,1,
fashion,1,
fast,1,((fast)[V])[N]
faster,NA,NA
fever,1,
fine,1,(fine)[N]
finish,1,((finish)[V])[N]
first,1,((first)[Q])[N]
flash,1,((flash)[V])[N]
flee,1,(flee)[V]
following,1,((following)[V])[N]
for,1,(for)[P]
foreigner,2,"((foreign)[A],(er)[N|A.])[N]"
form,1,(form)[N]
fortification,2,"((fortify)[V],(ation)[N|V.])[N]"
frail,1,(frail)[A]
from,1,(from)[P]
fudge,1,(fudge)[N]
full,1,(full)[V]
fur,1,(fur)[N]
gasp,1,((gasp)[V])[N]
gavel,1,(gavel)[N]
gender,1,
generation,2,"((generate)[V],(ion)[N|V.])[N]"
gin,1,(gin)[N]
ginger,1,
glitter,1,((glitter)[V])[N]
goof,1,(goof)[N]
grammar,1,(grammar)[N]
grasshopper,3,"((grass)[N],((hop)[V],(er)[N|V.])[N])[N]"
gray,NA,NA
greenness,2,"((green)[A],(ness)[N|A.])[N]"
guilt,1,(guilt)[N]
gymnastics,3,"(((gymnast)[N],(ic)[A|N.])[A],(s)[N|A.])[N]"
hail,1,(hail)[N]
half,1,((half)[A])[N]
hall,1,(hall)[N]
hamlet,1,
hard,1,(hard)[A]
harsh,1,(harsh)[A]
hasty,2,"((haste)[N],(y)[A|N.])[A]"
hay,1,(hay)[N]
head,1,(head)[N]
heir,1,(heir)[N]
help,1,((help)[V])[N]
hen,1,(hen)[N]
her,1,(her)[O]
herdsman,3,"((herd)[N],(s)[N|N.N],(man)[N])[N]"
hero,1,(hero)[N]
hobby,1,
hog,1,(hog)[N]
horse,1,(horse)[N]
hose,1,(hose)[N]
hostage,1,
hot,1,(hot)[A]
house,1,(house)[N]
how,1,(how)[B]
however,2,"((how)[B],(ever)[B])[B]"
humble,1,((humble)[A])[V]
idle,1,((idle)[A])[V]
if,1,(if)[C]
immortality,3,"(((im)[A|.A],(mortal)[A])[A],(ity)[N|A.])[N]"
importance,2,"((important)[A],(ance)[N|A.])[N]"
impossible,2,"((im)[A|.A],(possible)[A])[A]"
incongruity,3,"(((in)[A|.A],(congruous)[A])[A],(ity)[N|A.])[N]"
indifferent,3,"((in)[A|.A],((differ)[V],(ent)[A|V.])[A])[A]"
industry,1,
into,2,"(((in)[P])[B],(to)[P])[P]"
investigation,2,"((investigate)[V],(ion)[N|V.])[N]"
iron,1,(iron)[N]
its,1,(its)[O]
jacket,2,"((jack)[N],(et)[N|N.])[N]"
jingle,1,((jingle)[V])[N]
keel,1,(keel)[N]
keen,1,(keen)[N]
kernel,1,(kernel)[N]
kill,1,((kill)[V])[N]
kink,1,(kink)[N]
kiss,1,((kiss)[V])[N]
knee,1,(knee)[N]
know,1,((know)[V])[N]
known,1,((known)[V])[A]
lady,1,(lady)[N]
lake,1,(lake)[N]
lamp,1,(lamp)[N]
lean,1,((lean)[V])[N]
leap,1,((leap)[V])[N]
least,1,((least)[O])[N]
led,NA,NA
leg,1,(leg)[N]
letter,1,
liar,2,"((lie)[V],(ar)[N|V.])[N]"
lieutenant,2,"((lieu)[N],(tenant)[N])[N]"
light,1,(light)[N]
limelight,2,"((lime)[N],(light)[N])[N]"
lip,1,(lip)[N]
literal,1,((literal)[A])[N]
literature,2,"((literate)[A],(ure)[N|A.])[N]"
live,1,(live)[V]
loop,1,(loop)[N]
loot,1,(loot)[N]
lotion,1,
lubricant,2,"((lubricate)[V],(ant)[N|V.])[N]"
luck,1,(luck)[N]
lure,1,(lure)[N]
madman,2,"((mad)[A],(man)[N])[N]"
magnitude,1,
make,1,((make)[V])[N]
mallet,1,
manure,1,
many,1,(many)[O]
match,1,(match)[N]
material,1,((material)[A])[N]
meant,NA,NA
mediocrity,2,"((mediocre)[A],(ity)[N|A.])[N]"
might,1,(might)[N]
milk,1,(milk)[N]
mine,1,((mine)[V])[N]
mischief,1,
mood,1,(mood)[N]
moral,1,((moral)[A])[N]
most,1,((most)[O])[N]
motive,1,((motive)[A])[N]
mouse,1,(mouse)[N]
mouth,1,(mouth)[N]
much,1,((much)[O])[B]
mural,1,((mural)[A])[N]
murder,1,((murder)[V])[N]
nation,1,
need,1,((need)[V])[N]
nerve,1,(nerve)[N]
nine,1,((nine)[Q])[N]
nor,1,(nor)[C]
normal,2,"((norm)[N],(al)[A|N.])[A]"
not,1,(not)[B]
now,1,(now)[B]
nowhere,2,"((no)[B],(where)[B])[B]"
nurse,1,(nurse)[N]
oatmeal,2,"((oat)[N],(meal)[N])[N]"
obedience,3,"(((obey)[V],(ent)[A|V.])[A],(ence)[N|A.])[N]"
oblique,1,(oblique)[A]
observation,2,"((observe)[V],(ation)[N|V.])[N]"
obsession,2,"((obsess)[V],(ion)[N|V.])[N]"
of,1,(of)[P]
off,1,((off)[B])[A]
oh,1,
one,1,((one)[Q])[N]
only,1,(only)[A]
optimism,1,
ornate,1,
