"","obj","meanRating","cih","cil"
"2","1-2",0.067770971422087,0.0800653960643818,0.0582608441254486
"6","1-6",0.096151633986928,0.0620542127153891,0.0587906357694592
"5","1-5",0.171708853238265,0.075334907902555,0.0685162507427213
"1","1-1",0.198905525846702,0.0907297682709446,0.0939663101604278
"4","1-4",0.205391265597148,0.0862482620320857,0.0719535650623886
"8","1-8",0.213287175157144,0.0714914719954967,0.0689594427244582
"7","1-7",0.226620320855615,0.0871494652406417,0.0870099312452252
"3","1-3",0.240463209407226,0.0661031836621796,0.0663395409154739
"14","2-6",0.362726450020568,0.115505265322912,0.115518510900864
"13","2-5",0.365537163309983,0.112388978769709,0.0992890095030055
"16","2-8",0.388259920156472,0.119699696291988,0.126832177288567
"11","2-3",0.393164349376114,0.0668017290552585,0.066830338680927
"9","2-1",0.396717626087868,0.0821504666037538,0.0758955646429695
"10","2-2",0.400489205783323,0.0697856902356903,0.0731950980392158
"12","2-4",0.409232560903149,0.0666720380273322,0.0742309566250742
"19","3-3",0.437312451087946,0.098267151662245,0.100764822717584
"20","3-4",0.454706120023767,0.0918186928104576,0.103945193107546
"23","3-7",0.491521184697655,0.105764088852324,0.118811024269848
"15","2-7",0.498480635229298,0.0948591800356505,0.113833868092692
"18","3-2",0.500260812458955,0.0652578759733559,0.0648930481283422
"22","3-6",0.52237068011997,0.108154025762383,0.106064650783069
"21","3-5",0.545940690325717,0.11815143412737,0.130043753038405
"25","4-1",0.559609180035651,0.0983134692513369,0.099990028966132
"17","3-1",0.589474738918958,0.0870627195657621,0.088873957854181
"27","4-3",0.59194499618029,0.118915711739241,0.158164196587726
"24","3-8",0.592708884510742,0.0524384745285674,0.05402678487663
"31","4-7",0.596326967150497,0.0727732620320857,0.0923684491978609
"32","4-8",0.59644761338879,0.0747289067142008,0.0878506139829671
"38","5-6",0.598802900536869,0.0860510978478417,0.0920223406307
"28","4-4",0.599862745098039,0.0694274064171123,0.0650864349376116
"29","4-5",0.60023659050397,0.098977556311781,0.103561011181332
"26","4-2",0.601591200602591,0.0931507616947466,0.11170814479638
"36","5-4",0.614266488413547,0.0825257909982177,0.0848672571301249
"30","4-6",0.614648336563144,0.0763175029838316,0.0867815680375518
"40","5-8",0.627812012463534,0.113631549052705,0.136769659522357
"33","5-1",0.643812070282658,0.125095492742551,0.150324675324675
"35","5-3",0.650860276977924,0.0493662416015357,0.0537446044151927
"37","5-5",0.654049197860962,0.0706420320855615,0.0823672727272726
"39","5-7",0.657452317290553,0.0541182709447416,0.0557640708556149
"34","5-2",0.732388591800357,0.0479163881461675,0.0536210338680928
