"","ratingNum","meanRating","cil","cih","rating_1","rating_2","quintile"
"22",29,0.145270839281534,0.0505515622226852,0.0511830695547273,0.124777183600713,0.16986322609852,1
"23",3,0.147141029673902,0.0630351263500053,0.062444951242529,0.157486631016043,0.132361599185129,1
"13",20,0.200264138713337,0.0549128990439151,0.0646589288608005,0.201604278074866,0.199147355912062,1
"21",28,0.200609185263917,0.0473748875922789,0.0561944650499637,0.195008912655971,0.211109696403814,1
"7",15,0.202317290552585,0.0824866310160428,0.0828932709447416,0.248128342245989,0.169595110771581,1
"55",59,0.20730831904479,0.0570035933565344,0.0594897031944091,0.245372274784039,0.166072366993936,1
"41",46,0.240054116515293,0.0684069326316385,0.0715701777438247,0.213081036610448,0.269274953078875,1
"11",19,0.265111903347198,0.0732271241830065,0.0667038027332145,0.241830065359477,0.288393741334918,1
"5",13,0.285448098916334,0.0719203565062388,0.0698716329683389,0.323826500297089,0.26386024813966,1
"39",44,0.291960136120564,0.0732054610273861,0.0834489304812834,0.322589819766291,0.270754970519677,1
"50",54,0.310160689900628,0.0669657046657047,0.0705070556664984,0.339839572192513,0.277184154020755,1
"53",57,0.312409799834636,0.0828569770220096,0.0894345851921015,0.335446524064171,0.293980420451009,1
"28",34,0.313613099560812,0.079242766130021,0.0901450703738286,0.371390374331551,0.241391506097388,2
"31",37,0.316125051419169,0.0851707116413,0.0837412587412588,0.296027501909855,0.339572192513369,2
"15",22,0.328749681690858,0.0756493506493506,0.0788515406162466,0.340017825311943,0.313725490196078,2
"60",9,0.335882378663127,0.0810779040725565,0.0858695659163574,0.391711229946524,0.268887757123051,2
"51",55,0.346017432522623,0.103507392261718,0.102398636222166,0.387943607194944,0.269152778956701,2
"45",5,0.352405103455524,0.0653179579912772,0.0659902597402597,0.391488413547237,0.323092620886739,2
"12",2,0.356244101918842,0.0968976093111041,0.110128971374646,0.411229946524064,0.277692895339954,2
"56",6,0.35745320855615,0.0768967245989305,0.0775568181818181,0.342543077837195,0.376623376623377,2
"44",49,0.358240208244914,0.066304834224599,0.0709262568542568,0.376926322043969,0.340991487815017,2
"9",17,0.374816644502919,0.0685900671042828,0.0689482680445916,0.386745607333843,0.358116096539626,2
"2",10,0.377545811051693,0.0863427213309567,0.0885400950683304,0.357142857142857,0.395398395721925,2
"34",4,0.378938901621255,0.101267365390601,0.102299768553886,0.493761140819964,0.284993433185947,2
"59",8,0.388067614073806,0.0960714136797728,0.0905185758513932,0.41916906622789,0.320681134406625,3
"4",12,0.396360207778893,0.0937493238531301,0.0899821871707685,0.471925133689839,0.373109461344755,3
"17",24,0.398118522947167,0.0812838428124872,0.0793956339672453,0.466726084373143,0.354013662030469,3
"52",56,0.399193920630453,0.0873623135378553,0.089433098789755,0.47927807486631,0.340950899368012,3
"35",40,0.412817695673311,0.0969929995138551,0.100518546426835,0.393048128342246,0.436541176470588,3
"33",39,0.440874768762724,0.107713061925107,0.114031301409453,0.479095770539621,0.398831666808137,3
"57",60,0.451532677717552,0.0778783963417017,0.0784057887127915,0.439839572192514,0.456209919927567,3
"1",1,0.452385042906051,0.103217271757188,0.098551795667762,0.433155080213904,0.478024993162248,3
"46",50,0.460305623075677,0.110148914276454,0.100348784637822,0.486095159742219,0.423054070112894,3
"43",48,0.463502673796791,0.126885026737968,0.133713235294117,0.510918003565062,0.392379679144385,3
"8",16,0.471216042780749,0.081557486631016,0.0839639037433154,0.453781512605042,0.480603866721514,3
"58",7,0.516124312175463,0.0874001627528481,0.0763582577695109,0.488482106129165,0.552059180035651,3
"54",58,0.521053900348018,0.109918512859689,0.102578507766743,0.525229233511586,0.517258142926592,4
"40",45,0.539661319073084,0.100716726084373,0.0985071301247771,0.53921568627451,0.539884135472371,4
"19",26,0.540172800671071,0.115010296739017,0.1088510537905,0.555994295900178,0.517570664629488,4
"3",11,0.548862369828314,0.113881367858148,0.104074247115114,0.531788472964944,0.564228877005348,4
"36",41,0.558707749766573,0.0834117222646634,0.0862412613530261,0.586922638146168,0.53305785123967,4
"24",30,0.569061536789091,0.0946392457674192,0.0992908977732507,0.652072192513369,0.508690150807798,4
"42",47,0.572801576483237,0.0973900915565274,0.0975256376585095,0.529946524064171,0.634023079939046,4
"10",18,0.584426636816343,0.068803725720086,0.0710239430368108,0.654136520918528,0.505422101500533,4
"37",42,0.587461303713405,0.0666823309121629,0.0630987556638817,0.599312452253629,0.57561015517318,4
"47",51,0.626285479226656,0.0873148909913617,0.0833093377211024,0.660873440285205,0.596638655462185,4
"16",23,0.628162012279659,0.0894590512972866,0.0983679936621114,0.693971803597472,0.524746625923096,4
"25",31,0.640374331550802,0.0732921122994653,0.06913435828877,0.669043374925728,0.616917841516772,4
"49",53,0.644969919786096,0.0697714739304812,0.067703459224599,0.683656417112299,0.606283422459893,5
"18",25,0.65821901883283,0.0865147640083702,0.0801296210183678,0.68964858670741,0.609328579916815,5
"32",38,0.672930841661492,0.0902014580420154,0.0865822458701715,0.719633307868602,0.645687736374011,5
"26",32,0.691494779730074,0.0739782276546982,0.0770339954163483,0.697638146167558,0.683303624480095,5
"48",52,0.692027224112786,0.0774489547885269,0.0726968886728244,0.663770053475936,0.725935828877005,5
"14",21,0.694364459070341,0.0522444467297408,0.0473184903331961,0.643150966680379,0.745577951460304,5
"20",27,0.704209853212949,0.0602578013661605,0.0624850380556263,0.723834988540871,0.692761857604995,5
"38",43,0.713235039470334,0.0895429080723199,0.0852811560988032,0.712463458110517,0.714623885918004,5
"27",33,0.760232620320856,0.0688973930481284,0.0735730614973261,0.77652192513369,0.733083778966132,5
"30",36,0.784153743315508,0.0605030080213904,0.0638478609625669,0.837662337662338,0.742535947712418,5
"29",35,0.799923397322778,0.0575770233664969,0.0572925309411377,0.81918449197861,0.785915328482173,5
"6",14,0.889522178449514,0.0503342245989303,0.0493728893815399,0.943850267379679,0.841230543844923,5
