"","obj","log.rt","cih","cil"
"1","1-1",7.04719236357878,0.0945910926903677,0.0977185804800582
"2","1-2",7.12566153316537,0.109395023743011,0.0946514212268346
"3","1-3",7.12022004272548,0.111256355857643,0.106349223976397
"4","1-4",7.106017880143,0.119916699468887,0.116244849866055
"5","1-5",7.13330511343712,0.122334178729482,0.127980590767137
"6","1-6",7.07781498740677,0.111482102139325,0.12333423653629
"7","1-7",7.21094692940482,0.122381004461853,0.114163773777633
"8","1-8",7.15638039732531,0.110466238359057,0.0989498824674451
"9","2-1",7.25000948926994,0.134223831342002,0.123223808479624
"10","2-2",7.22323860108545,0.112015752940899,0.105573851460941
"11","2-3",7.2537688186413,0.125044236702064,0.131900983083891
"12","2-4",7.29336768842468,0.124470422542926,0.126684180819083
"13","2-5",7.28993416391881,0.125086795806235,0.112973392621632
"14","2-6",7.30024971724876,0.113980251482442,0.104614284985489
"15","2-7",7.25324083665048,0.135690681734349,0.14783348814132
"16","2-8",7.14928546016887,0.117907308695522,0.114444111019389
"17","3-1",7.26311607655564,0.129086725655664,0.1272123455282
"18","3-2",7.34357497749828,0.110484993008327,0.114041787544726
"19","3-3",7.35231805220081,0.12833237154763,0.136005802724438
"20","3-4",7.34365297144576,0.126121968631685,0.117418654575234
"21","3-5",7.38057144653556,0.10769892780433,0.107988670375388
"22","3-6",7.37717323948312,0.125675237132851,0.121259079102269
"23","3-7",7.4576421040624,0.112280379854929,0.1164165710648
"24","3-8",7.37820860586072,0.113814491940865,0.105665202033416
"25","4-1",7.47238209549203,0.115035145311313,0.127021970400336
"26","4-2",7.38357413673939,0.104753802783117,0.106145510563191
"27","4-3",7.51389426853832,0.129691253648854,0.123421421457989
"28","4-4",7.44415965744716,0.132830044331069,0.124599758722984
"29","4-5",7.45011405562092,0.129009006319876,0.117879855467962
"30","4-6",7.4808403912451,0.133936167928901,0.121286872170844
"31","4-7",7.40403330391097,0.111577047262376,0.118322522571878
"32","4-8",7.48492849833601,0.117185228754455,0.11701805114295
"33","5-1",7.55152734409631,0.114630033460153,0.123482134007366
"34","5-2",7.40911860957558,0.128506661432779,0.134885197091767
"35","5-3",7.49631198228932,0.119155001178322,0.1136102117309
"36","5-4",7.52245949482209,0.142103669370226,0.137396563233741
"37","5-5",7.41937065134264,0.135695931401445,0.145911935029021
"38","5-6",7.46635694988485,0.13537026839204,0.131507195435574
"39","5-7",7.53194766740618,0.115118252691617,0.119943281602456
"40","5-8",7.5809576218774,0.113645397878101,0.107965562058768
